artist,title,album,lyrics,lyrics_length
Britney Spears,...Baby One More Time,The Collection (7 Complete Albums),"Oh, baby, baby
Oh, baby, baby

Oh, baby, baby
How was I supposed to know
That somethin' wasn't right here?
Oh, baby, baby
I shouldn't have let you go
And now you're out of sight, yeah

Show me how you want it to be
Tell me, baby, 'cause I need to know now
Oh, because

My loneliness is killin' me (And I)
I must confess, I still believe (Still believe)
When I'm not with you, I lose my mind
Give me a sign
Hit me, baby, one more time

Oh, baby, baby
The reason I breathe is you (Oh yeah)
Boy, you got me blinded
Oh, pretty baby
There's nothing that I wouldn't do
It's not the way I planned it

Show me how you want it to be
Tell me, baby, 'cause I need to know now
Oh, because

My loneliness is killin' me (And I)
I must confess, I still believe (Still believe)
When I'm not with you, I lose my mind
Give me a sign
Hit me, baby, one more time

Oh, baby, baby (Oh)
Oh, baby, baby (Yeah, yeah)
Oh, baby, baby
How was I supposed to know?
Oh, pretty baby
I shouldn't have let you go
I must confess that my loneliness is killin' me now
Don't you know I still believe
That you will be here and give me a sign?
Hit me, baby, one more time

My loneliness is killin' me (And I)
I must confess, I still believe (Still believe)
When I'm not with you, I lose my mind
Give me a sign
Hit me, baby, one more time

I must confess that my loneliness (My loneliness is killin' me)
Is killin' me now (I must confess, I still believe)
Don't you know I still believe (When I'm not with you, I lose my mind)
That you will be here and give me a sign?
Hit me, baby, one more time",319
Britney Spears,Toxic,The Collection (7 Complete Albums),"Baby, can't you see I'm callin'?
A guy like you should wear a warnin'
It's dangerous, I'm fallin'
There's no escape, I can't wait
I need a hit, baby, give me it
You're dangerous, I'm lovin' it

Too high, can't come down
Losing my head, spinnin' 'round and 'round
Do you feel me now?

With a taste of your lips, I'm on a ride
You're toxic, I'm slippin' under
With a taste of a poison paradise
I'm addicted to you
Don't you know that you're toxic?
And I love what you do
Don't you know that you're toxic?

It's gettin' late to give you up
I took a sip from my devil's cup
Slowly, it's takin' over me

Too high, can't come down
It's in the air and it's all around
Can you feel me now?

With a taste of your lips, I'm on a ride
You're toxic, I'm slippin' under
With a taste of a poison paradise
I'm addicted to you
Don't you know that you're toxic?
And I love what you do
Don't you know that you're toxic?
Don't you know that you're toxic?


Taste of your lips, I'm on a ride
You're toxic, I'm slippin' under
With a taste of a poison paradise
I'm addicted to you
Don't you know that you're toxic?
With a taste of your lips, I'm on a ride
You're toxic, I'm slippin' under (Toxic)
With a taste of a poison paradise
I'm addicted to you
Don't you know that you're toxic?

Intoxicate me now with your lovin' now
I think I'm ready now (I think I'm ready now)
Intoxicate me now with your lovin' now
I think I'm ready now",278
Britney Spears,Work Bitch,Glory (Japan Tour Edition),"You wanna?
You wanna?

You want a hot body? You want a Bugatti?
You want a Maserati? You better work, bitch
You want a Lamborghini? Sip martinis?
Look hot in a bikini? You better work, bitch
You wanna live fancy? Live in a big mansion?
Party in France? You better work, bitch
You better work, bitch, you better work, bitch
You better work, bitch

Now get to work, bitch
(Ah)
Now get to work, bitch
(Ah)

Bring it on, ring the alarm
Don't stop now, just be the champion
Work it hard like it's your profession
Watch out now, 'cause here it comes

Here comes the smasher, here comes the master
Here comes the big beat, big beat to blast ya
No time to quit now, just time to get it now
Pick up what I'm puttin' down, pick up what I'm puttin' down

You want a hot body? You want a Bugatti?
You want a Maserati? You better work, bitch
You want a Lamborghini? Sip martinis?
Look hot in a bikini? You better work, bitch
You wanna live fancy? Live in a big mansion?
Party in France? You better work, bitch
You better work, bitch, you better work, bitch
You better work, bitch

Now get to work, bitch
(Ah)
Now get to work, bitch
(Ah)

Break it up, break it down
See me comin', you can hear my sound
Tell somebody in your town
Spread the word, spread the word

Go call the police, go call the governor
I bring the treble, don't mean to trouble ya
I make it bubble up, call me the bubbler
I am the bad bitch, the bitch that you're lovin' up

Hold your head high, fingers to the sky
They gon' try and try ya, but they can't deny ya
Keep it moving higher, and higher
Keep it moving higher, and higher
So hold your head high, fingers to the sky
Now they don't believe ya, but they gonna need ya
Keep it moving higher, and higher
Keep it moving higher and higher, and higher

Work, work, work, work
Work, work, work, work (Work)
Work, work (Work), work, work (Work)
Work, work (Work), work

Work it out (Work it out), work it out
Work it out (Work it out), work it out
Work it out (Work it out), work it out
Work it out (Work it out), work it out
Work it out (Work it out), work it out
Work it out (Work it out), work it out
Work it out (Work it out), work it out

You better work, bitch
You better work, bitch",432
Britney Spears,Oops!...I Did It Again,The Collection (7 Complete Albums),"Mmm, yeah
Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah

I think I did it again
I made you believe we're more than just friends
Oh, baby, it might seem like a crush
But it doesn't mean that I'm serious

'Cause to lose all my senses
That is just so typically me
Ooh, baby, baby

Oops, I did it again, I played with your heart
Got lost in the game, oh, baby, baby
Oops, you think I'm in love, that I'm sent from above
I'm not that innocent

You see, my problem is this
I'm dreamin' away
Wishin' that heroes, they truly exist
I cry watching the days
Can't you see I'm a fool in so many ways?

But to lose all my senses
That is just so typically me
Oh, baby, oh

Oops, I did it again, I played with your heart
Got lost in the game, oh, baby, baby
Oops, you think I'm in love, that I'm sent from above
I'm not that innocent

Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah

""All aboard!""
""Britney! Before you go, there's something I want you to have.""
""Oh, it's beautiful! But wait a minute, isn't this...?""
""Yeah, yes, it is.""
""But I thought the old lady dropped it into the ocean in the end.""
""Well, baby, I went down and got it for ya.""
""Aw, you shouldn't have""

Oops, I did it again to your heart
Got lost in this game, oh, baby (Baby)
Oops, you (Oops, you), think that I'm sent from above
I'm not that innocent
Oops, I did it again, I played with your heart
Got lost in the game (Yeah, yeah), oh, baby, baby
Oops, you think I'm in love, that I'm sent from above (Yeah, yeah)
I'm not that innocent (Not that innocent, babe)
Oops, I (Oops, I) did it again (Did it again to your heart), I played with your heart (Got lost)
Got lost in the game (In this game, oh, baby), oh, baby, baby
Oops, you (Oops, you) think I'm in love (Think that I'm sent), that I'm sent from above
I'm not that innocent",361
Britney Spears,If U Seek Amy,The Collection (7 Complete Albums),"La, la, la, la, la-la, la, la
La, la, la, la, la-la, la, la
La, la, la, la, la-la, la, la
La, la, la, la, la-la, la, la

Oh, baby, baby, have you seen Amy tonight?
Is she in the bathroom? Is she smoking up outside? (Oh)
Oh, baby, baby, does she take a piece of lime
For the drink that I'ma buy her? Do you know just what she likes? (
Oh
)

Oh, oh, tell me, have you seen her?
'Cause I'm so, oh, I can't get her off of my brain
I just wanna go to the party she gon' go
Can somebody take me home? Ha-ha, hee-hee, ha-ha, ho

Love me, hate me, say what you want about me
But all of the boys and all of the girls are begging to, if you seek Amy
Love me, hate me, but can't you see what I see?
All of the boys and all of the girls are begging to, if you seek Amy

(Love me, hate me)
La, la, la, la, la-la, la, la
La, la, la, la, la-la, la, la

Amy told me that she's gonna meet me up
I don't know where or when, and now they're closing up the club (Oh)
I've seen her once or twice before, she knows my face
But it's hard to see with all the people standing in the way (
Oh
)

Oh, oh, tell me, have you seen her?
'Cause I'm so, oh, I can't get her off of my brain
I just wanna go to the party she gon' go
Can somebody take me home? Ha-ha, hee-hee, ha-ha, ho

Love me, hate me, say what you want about me
But all of the boys and all of the girls are begging to, if you seek Amy
Love me, hate me, but can't you see what I see?
All of the boys and all of the girls are begging to, if you seek Amy

(Love me, hate me) Oh, say what you want about me
Oh, but can't you see what I see?
(Love me, hate me) Yeah, say what you want about me

So tell me if you see her
(
Let me know what she was wearing and what she was like
)
'Cause I've been waiting here forever
(
Let me know if she was going out her mind
)
Oh, baby, baby, if you seek Amy tonight (Oh)
Oh, baby, baby, we'll do whatever you like
Oh, baby, baby, baby
Oh, baby, baby, baby

La, la, la, la, la-la, la, la
La, la, la, la, la-la, la, la
La, la, la, la, la-la, la, la
La, la, la, la, la-la, la, la

Love me, hate me, say what you want about me
But all of the boys and all of the girls are begging to, if you seek Amy
Love me, hate me, but can't you see what I see?
All of the boys and all of the girls are begging to, if you seek Amy
Love me, hate me, say what you want about me (Yeah, yeah)
Love me, hate me, but can't you see what I see?
All of the boys and all of the girls are begging to, if you seek Amy

(Love me, hate me) Oh, say what you want about me
Oh, but can't you see what I see?
(Love me, hate me) Yeah, say what you want about me
All of the boys and all of the girls are begging to, if you seek Amy",589
Britney Spears,Everytime,The Collection (7 Complete Albums),"Notice me
Take my hand
Why are we
Strangers when

Our love is strong?
Why carry on without me?

Every time I try to fly, I fall
Without my wings, I feel so small
I guess I need you, baby
And every time I see you in my dreams
I see your face, it's haunting me
I guess I need you, baby

I make believe
That you are here
It's the only way
I see clear

What have I done?
You seem to move on easy

And every time I try to fly, I fall
Without my wings, I feel so small
I guess I need you, baby
And every time I see you in my dreams
I see your face, you're haunting me
I guess I need you, baby

I may have made it rain
Please forgive me
My weakness caused you pain
And this song's my sorry

Ooh

At night, I pray
That soon your face will fade away

And every time I try to fly, I fall
Without my wings, I feel so small
I guess I need you, baby
And every time I see you in my dreams
I see your face, you're haunting me
I guess I need you, baby",205
Britney Spears,Sometimes,The Collection (7 Complete Albums),"You tell me you're in love with me
Like you can't take your pretty eyes away from me
It's not that I don't wanna stay
But every time you come too close, I move away

I wanna believe in everything that you say
'Cause it sounds so good
But if you really want me, move slow
There's things about me you just have to know

Sometimes I run
Sometimes I hide
Sometimes I'm scared of you
But all I really want is to hold you tight
Treat you right
Be with you day and night
Baby, all I need is time

I don't wanna be so shy, uh-oh
Every time that I'm alone, I wonder why
Hope that you will wait for me
You'll see that you're the only one for me

I wanna believe in everything that you say
'Cause it sounds so good
But if you really want me, move slow
There's things about me you just have to know

Sometimes I run (Sometimes)
Sometimes I hide
Sometimes I'm scared of you
But all I really want is to hold you tight
Treat you right
Be with you day and night
All I really want is to hold you tight
Treat you right
Be with you day and night
Baby, all I need is time

I'll just hang around and you'll see
There's nowhere I'd rather be
If you love me, trust in me
The way that I trust in you
Ah, ooh, yeah

Sometimes I run (Sometimes)
Sometimes I hide
Sometimes I'm scared of you (Ooh, oh)
But all I really want is to hold you tight (Hold you tight)
Treat you right
Be with you day and night (Day and night, ooh, yeah)
Sometimes I run (Sometimes)
Sometimes I hide
Sometimes I'm scared of you (Ooh, oh)
But all I really want is to hold you tight
I'll treat you right
I'll be with you day and night (Day and night)

All I really want is to hold you tight
Be with you day and night
Sometimes I run (Sometimes)
Sometimes I hide
Sometimes I'm scared of you
But all I really want is to hold you tight
I'll treat you right
I'll be with you day and night",373
Britney Spears,Gimme More,The Collection (7 Complete Albums),"It's Britney, bitch
I see you
And I just wanna dance with you

Every time they turn the lights down
Just wanna go that extra mile for you
Public display of affection (Oh-oh-oh)
Feels like no one else in the room (But you)

We can get down
Like there's no one around
We keep on rocking (We keep on rocking)
We keep on rocking (We keep on rocking)
Cameras are flashing
While we're dirty dancing
They keep watching (They keep watching)
Keep watching, feels like the crowd is saying

Gimme, gimme (More), gimme (More)
Gimme, gimme (More)
Gimme, gimme (More), gimme (Mo')
Gimme, gimme (More)
Gimme, gimme (More), gimme (More)
Gimme, gimme (More)
Gimme, gimme (More), gimme (Mo')
Gimme, gimme (More)

The center of attention (Do you feel that?)
Even when we're up against the wall
You got me in a crazy position (Yeah)
If you're on a mission (Uh-huh), you got my permission (Oh)

We can get down
Like there's no one around
We keep on rocking (Keep on rocking)
We keep on rocking (Oh), rocking (Uh-huh)
Cameras are flashing
While we're dirty dancing
They keep watching (They keep watching)
Keep watching, feels like the crowd is saying

Gimme, gimme (More), gimme (More)
Gimme, gimme (More)
Gimme, gimme (More), gimme (Mo')
Gimme, gimme (More)
Gimme, gimme (More), gimme (More)
Gimme, gimme (More)
Gimme, gimme (More), gimme (Mo')
Gimme, gimme (More)

Ooh-ooh-ooh
Ooh-ooh-ooh (I just can't)
Ooh-ooh-ooh (Control myself)
Ooh-ooh-ooh (More)
Ooh-ooh-ooh (They want more?)
Ooh-ooh-ooh
Ooh-ooh-ooh (Well, I'll give them more)
Ooh-ooh-ooh (Ow, more)

Gimme, gimme (More), gimme (More)
Gimme, gimme (More), give me more
Gimme, gimme (More), gimme (Mo')
Gimme, gimme (More), ooh-ooh
Gimme, gimme (More), gimme (More)
Gimme, gimme (More)
Gimme, gimme (More), give me more, gimme (Mo'), yeah
Gimme, gimme (More)

Oh-oh-oh
Gimme more, gimme more
Mo— Mo— Mo— Mo— Mo— Mo— Mo— (
More
)
Gimme more, gimme more, babe
Danja, Danja, Danja, Danja
Danja, Danja, Danja, Danja (I just want more)

Ooh-oh, ah-ah-ah, ah
Ooh-oh, ah-ah-ah, ah
Ooh-oh, ah-ah-ah, ah
Ooh-oh, ah-ah-ah, ah
Ooh-oh, ah-ah-ah, ah
Ooh-oh, ah-ah-ah, ah
Ooh-oh, ah-ah-ah, ah
Ooh-oh, ah-ah-ah, ah
Gimme, gimme, gimme
Gimme, gimme
Gimme, gimme, gimme (Danja, Danja, Danja, Danja)
Gimme, gimme (Danja, Danja, Danja, Danja)
Gimme, gimme, gimme
Gimme, gimme
Gimme, gimme, gimme
Gimme, gimme

Bet you didn't see this one coming
The Incredible Lago (Mo— Mo— Mo— Mo— Mo— Mo— Mo—)
The legendary Miss Britney Spears, haha
And the unstoppable Danja
Ah, you gonna have to remove me
'Cause I ain't going nowhere
Mo— Mo— Mo— Mo— Mo— Mo— Mo— (More)",426
Britney Spears,Lucky,The Collection (7 Complete Albums),"This is a story about a girl named Lucky

Early morning, she wakes up
Knock, knock, knock on the door
It's time for makeup, perfect smile
It's you they're all waiting for

They go, ""Isn't she lovely, this Hollywood girl?""
And they say

""She's so lucky, she's a star""
But she cry, cry, cries in her lonely heart, thinking
""If there's nothing missing in my life
Then why do these tears come at night?""

Lost in an image, in a dream
But there's no one there to wake her up
And the world is spinning, and she keeps on winning
But tell me, what happens when it stops?

They go, ""Isn't she lovely, this Hollywood girl?""
And they say

""She's so lucky, she's a star""
But she cry, cry, cries in her lonely heart, thinking
""If there's nothing missing in my life
Then why do these tears come at night?""

""Best actress, and the winner is, Lucky!""
""I'm Roger Johnson for Pop News, standing outside the arena waiting for Lucky""
""Oh my God, here she comes!""

Isn't she lovely, this Hollywood girl?
She is so lucky, but why does she cry?
If there is nothing missing in her life
Why do tears come at night?
And they say

""She's so lucky, she's a star""
But she cry, cry, cries in her lonely heart, thinking
""If there's nothing missing in my life
Then why do these tears come at night?""
""She's so lucky, she's a star""
But she cry, cry, cries in her lonely heart, thinking
""If there's nothing missing in my life
Then why do these tears come at night?""",270
Britney Spears,Criminal,The Collection (7 Complete Albums),"He is a hustler, he's no good at all
He is a loser, he's a bum, bum, bum, bum
He lies, he bluffs, he's unreliable
He is a sucker with a gun, gun, gun, gun
I know you told me I should stay away
I know you said he's just a dog astray
He's a bad boy with a tainted heart
And even I know this ain't smart

But, mama, I'm in love with a criminal
And this type of love isn't rational, it's physical
Mama, please don't cry, I will be alright
All reason aside, I just can't deny, love the guy

He is a villain by the devil's law
He is a killer just for fun, fun, fun, fun
The man's a snitch and unpredictable
He's got no conscience, he got none, none, none, none
Oh-oh, I know, oh
Should've let go, but no
'Cause he's a bad boy with a tainted heart
And even I know this ain't smart

But, mama, I'm in love with a criminal
And this type of love isn't rational, it's physical
Mama, please don't cry, I will be alright
All reason aside, I just can't deny, love the guy

And he's got my name
Tattooed on his arm, his lucky charm
So I guess it's okay
He's with me
And I hear people talk (People talk)
Try to make remarks, keep us apart
But I don't even hear
I don't care

'Cause, mama, I'm in love with a criminal
And this type of love isn't rational, it's physical
Mama, please don't cry, I will be alright
All reason aside, I just can't deny, love the guy (I love the guy)
(Oh-oh, I know, oh) Mama, I'm in love with a criminal
(Should've let go, but no) And this type of love isn't rational, it's physical
(Oh-oh, I know, oh) Mama, please don't cry, I will be alright
(Should've let go, but no) All reason aside, I just can't deny, love the guy",330
