artist,title,album,lyrics,lyrics_length
Carole King,You’ve Got a Friend,A Natural Woman: The Ode Collection 1968-1976,"When you're down and troubled
And you need some lovin' care
And nothin', nothin' is goin' right
Close your eyes and think of me
And soon I will be there
To brighten up even your darkest night

You just call out my name
And you know wherever I am
I'll come runnin'
To see you again
Winter, spring, summer or fall
All you have to do is call
And I'll be there
You've got a friend

If the sky above you
Grows dark and full of clouds
And that old north wind begins to blow
Keep your head together
And call my name out loud
Soon you'll hear me knockin' at your door

You just call out my name
And you know wherever I am
I'll come runnin', a-runnin', yeah, yeah
To see you again
Winter, spring, summer or fall
All you have to do is call
And I'll be there, yes, I will

Now ain't it good to know that you've got a friend
When people can be so cold?
They'll hurt you, yes, and desert you
And take your soul if you let them
Oh, but don't you let them

You just call out my name
And you know wherever I am
I'll come runnin', a-runnin', yeah, yeah
To see you again
Winter, spring, summer or fall
All you have to do is call
And I'll be there, yes, I will (Oh, yes, I will)
You've got a friend

You've got a friend
Ain't it good to know
You've got a friend?
Ain't it good to know
Ain't it good to know
Ain't it good to know
You've got a friend?
Oh, yeah, now
You've got a friend
Yeah, baby
You've got a friend
Oh, yeah
You've got a friend",292
Carole King,It’s Too Late,A Natural Woman: The Ode Collection 1968-1976,"Stayed in bed all morning just to pass the time
There's something wrong here, there can be no denying
One of us is changing, or maybe we just stopped trying

And it's too late, baby, now it's too late
Though we really did try to make it
Something inside has died
And I can't hide and I just can't fake it
Oh, no, no, no, no (No, no, no, no)

It used to be so easy living here with you
You were light and breezy and I knew just what to do
Now you look so unhappy and I feel like a fool

And it's too late, baby, now it's too late
Though we really did try to make it (We can't make it)
Something inside has died
And I can't hide and I just can't fake it
Oh, no, no

(Do-do-do-do-do-do-do-do-do-do-do, dah)

There'll be good times again for me and you
But we just can't stay together, don't you feel it, too?
Still, I'm glad for what we had and how I once loved you

But it's too late, baby, now it's too late
Though we really did try to make it (We can't make it now)
Something inside has died
And I can't hide and I just can't fake it
Oh, no, no, no, no, no

It's too late, baby
It's too late now, darlin'
It's too late",230
Carole King,Where You Lead,A Natural Woman: The Ode Collection 1968-1976,"Loving you the way I do
I only wanna be with you
And I would go to the ends of the earth
'Cause darling, to me that's what you're worth

Where you lead, I will follow
Anywhere that you tell me to
If you need, you need me to be with you
I will follow where you lead

If you're out on the road
Feeling lonely, and so cold
All you have to do is call my name
And I'll be there on the next train

Where you lead, I will follow
Anywhere that you tell me to
If you need, you need me to be with you
I will follow where you lead

I always wanted a real home
With flowers on the window sill
But if you want to live in New York City
Honey, you know I will (Yes I will, yes I will)
I never thought I could get satisfaction
From just one man
But if anyone can keep me happy
You're the one who can

Where you lead, I will follow
Anywhere that you tell me to
If you need, you need me to be with you
I will follow oh, oh
Where you lead, I will follow
Any, anywhere that you tell me to
If you need, you need me to be with you
I will follow where you lead
Oh baby
Ooh (Ooh)

I'm gonna follow where you lead
(I'm gonna follow where you lead)
Oh baby, yeah, I'm gonna follow where you lead
(I'm gonna follow where you lead)
Ooh sugar, uh huh, I'm gonna follow where you lead
(I'm gonna follow where you lead)
Oh baby, yeah, I'm gonna follow where you lead
(I'm gonna follow where you lead)
Ooh yeah, I'm gonna follow where you lead",296
Carole King,So Far Away,A Natural Woman: The Ode Collection 1968-1976,"So far away
Doesn't anybody stay in one place any more?
It would be so fine to see your face at my door
Doesn't help to know you're just time away
Long ago I reached for you and there you stood
Holding you again could only do me good
How I wish I could
But you're so far away

One more song about moving along the highway
Can't say much of anything that's new
If I could only work this life out my way
I'd rather spend it being close to you

But you're so far away
Doesn't anybody stay in one place any more?
It would be so fine to see your face at my door
Doesn't help to know you're so far away
Yeah, you're so far away

Traveling around sure gets me down and lonely
Nothing else to do but close my mind
I sure hope the road don't come to own me
There's so many dreams I've yet to find

But you're so far away
Doesn't anybody stay in one place any more?
It would be so fine to see your face at my door
And it doesn't help to know you're so far away
Yeah, you're so far away
Hey, you're so far away",209
Carole King,(You Make Me Feel Like) A Natural Woman,A Natural Woman: The Ode Collection 1968-1976,"Looking out on the morning rain
I used to feel uninspired
And when I knew I'd have to face another day
Lord, it made me feel so tired
Before the day I met you, life was so unkind
Your love was the key to my peace of mind

'Cause you make me feel
You make me feel
You make me feel
Like a natural woman

Oh, when my soul was in the lost and found
You came along to claim it
I didn't know just what was wrong with me
'Til your kiss helped me name it
Now I'm no longer doubtful
Of what I'm living for
'Cause if I make you happy I don't need to do more

You make me feel
You make me feel
You make me feel
Like a natural woman

Oh, baby, what you've done to me (what you've done to me)
You make me feel so good inside (good inside)
And I just wanna be (wanna be)
Close to you, you make me feel so alive

You make me feel
You make me feel
You make me feel
Like a natural, natural woman
You make me feel
You know you make me feel
You make me feel
Like a natural woman
You know you
You make me feel
You make me feel
You make me feel
Like a natural woman
Natural woman",228
Carole King,I Feel the Earth Move,A Natural Woman: The Ode Collection 1968-1976,"I feel the earth move under my feet
I feel the sky tumblin' down
I feel my heart start to tremblin'
Whenever you're around

Ooh, baby, when I see your face
Mellow as the month of May
Oh, darlin', I can't stand it
When you look at me that way

I feel the earth move under my feet
I feel the sky tumblin' down
I feel my heart start to tremblin'
Whenever you're around


Ooh, darlin', when you're near me
And you tenderly call my name
I know that my emotions
Are somethin' I just can't tame
I've just got to have you, baby
Ah-ah-ah, ah-ah-ah, yeah

I feel the earth move under my feet
I feel the sky tumblin' down, a-tumblin' down
I feel the earth move under my feet
I feel the sky tumblin' down, a-tumblin' down

I just a-lose control
Down to my very soul
I get a-hot and cold
All over, all over, all over, all over

I feel the earth move under my feet
I feel the sky tumblin' down, a-tumblin' down
I feel the earth move under my feet
I feel the sky tumblin' down, a-tumblin' down

A-tumblin' down
A-tumblin' down
A-tumblin' down
Tumblin' down",201
Carole King,Will You Love Me Tomorrow?,A Natural Woman: The Ode Collection 1968-1976,"Tonight you're mine completely
You give your love so sweetly
Tonight the light of love is in your eyes
But will you love me tomorrow?

Is this a lasting treasure
Or just a moment's pleasure?
Can I believe the magic of your sighs?
Will you still love me tomorrow?

Tonight with words unspoken
You say that I'm the only one
But will my heart be broken
When the night (When the night)
Meets the morning sun? (Meets the morning sun?)

I'd like to know that your love
Is love I can be sure of
So tell me now and I won't ask again
Will you still love me tomorrow?
Will you still love me tomorrow?",115
Carole King,Tapestry,A Natural Woman: The Ode Collection 1968-1976,"My life has been a tapestry of rich and royal hue
An everlasting vision of the ever-changing view
A wondrous woven magic in bits of blue and gold
A tapestry to feel and see, impossible to hold

Once amid the soft silver sadness in the sky
There came a man of fortune, a drifter passing by
He wore a torn and tattered cloth around his leathered hide
And a coat of many colors, yellow-green on either side

He moved with some uncertainty, as if he didn't know
Just what he was there for, or where he ought to go
Once he reached for something golden hanging from a tree
And his hand came down empty

Soon within my tapestry along the rutted road
He sat down on a river rock and turned into a toad
It seemed that he had fallen into someone's wicked spell
And I wept to see him suffer, though I didn't know him well

As I watched in sorrow, there suddenly appeared
A figure gray and ghostly beneath a flowing beard
In times of deepest darkness, I've seen him dressed in black
Now my tapestry's unraveling, he's come to take me back
He's come to take me back",202
Carole King,Beautiful,A Natural Woman: The Ode Collection 1968-1976,"You've got to get up every morning with a smile on your face
And show the world all the love in your heart
Then people gonna treat you better
You're gonna find, yes, you will
That you're beautiful as you feel

Waiting at the station with a workday wind a-blowing
I've got nothing to do but watch the passers-by
Mirrored in their faces I see frustration growing
And they don't see it showing, why do I?

You've got to get up every morning with a smile on your face
And show the world all the love in your heart
Then people gonna treat you better
You're gonna find, yes, you will
That you're beautiful as you feel

I have often asked myself the reason for the sadness
In a world where tears are just a lullaby
If there's any answer, maybe love can end the madness
Maybe not, oh, but we can only try

You've got to get up every morning with a smile on your face
And show the world all the love in your heart
Then people gonna treat you better
You're gonna find, yes, you will
That you're beautiful, you're beautiful
You're beautiful as you feel",199
Carole King,Where You Lead I Will Follow,Love Makes The World: Deluxe Edition,"Loving you the way I do
I know we're gonna make it through
And I will go
To the ends of the earth
'Cause darling, to me that's what you're worth

Where you lead
I will follow
Anywhere that you tell me to
If you need, if you need me to be with you
I will follow
Where you lead

If you're out on the road
Feelin' lonely and so cold
All you have to do is call my name
And I'll be there
On the next train

Where you lead
I will follow anywhere
That you tell me to
If you need, you need me to be with you
I will follow
Where you lead

I always wanted a real home
With flowers on the windowsill
But if you wanna live in New York City
Honey you know I will
You never know how it's all gonna turn out
But that's ok
Just as long
As we're together
We can find a way

Where you lead
I will follow, anywhere
That you tell me to
If you need, you need me to be with you
I will follow -
Oh, oh, oh!
Where you lead
I will follow, anywhere
That you tell me to
If you need, you need me to be with you
I will follow
Where you lead

Oh baby, yeah
I'm gonna follow where you lead
I'm gonna follow where you lead
I'm gonna follow where you lead
I'm gonna follow where you lead
I'm gonna follow where you lead",254
