artist,title,album,lyrics,lyrics_length
Elton John,Your Song,To Be Continued... [US Edition],"It's a little bit funny
This feelin' inside
I'm not one of those who can easily hide
I don't have much money, but boy, if I did
I'd buy a big house where we both could live

If I was a sculptor, heh
But then again, no
Or a man who makes potions in a travellin' show, oh
I know it's not much, but it's the best I can do
My gift is my song and this one's for you

And you can tell everybody
This is your song
It may be quite simple, but
Now that it's done
I hope you don't mind, I hope you don't mind
That I put down in words
How wonderful life is
While you're in the world

I sat on the roof
And kicked off the moss
Well, a few of the verses
Well, they've got me quite cross
But the sun's been quite kind
While I wrote this song
It's for people like you that keep it turned on

So excuse me forgettin'
But these things I do
You see, I've forgotten
If they're green or they're blue
Anyway, the thing is
What I really mean
Yours are the sweetest eyes I've ever seen

And you can tell everybody
This is the song
It may be quite simple, but
Now that it's done
I hope you don't mind, I hope you don't mind
That I put down in words
How wonderful life is
While you're in the world

I hope you don't mind, I hope you don't mind
That I put down in words
How wonderful life is
While you're in the world",271
Elton John,I’m Still Standing,To Be Continued... [US Edition],"You could never know what it's like
Your blood, like winter, freezes just like ice
And there's a cold, lonely light that shines from you
You'll wind up like the wreck you hide behind that mask you use
And did you think this fool could never win?
Well, look at me, I'm a-comin' back again
I got a taste of love in a simple way
And if you need to know while I'm still standin', you just fade away

Don't you know, I'm still standin' better than I ever did?
Lookin' like a true survivor, feelin' like a little kid
And I'm still standin' after all this time
Pickin' up the pieces of my life without you on my mind

I'm still standin' (Yeah, yeah, yeah)
I'm still standin' (Yeah, yeah, yeah)

Once, I never coulda hoped to win
You're startin' down the road, leavin' me again
The threats you made were meant to cut me down
And if our love was just a circus, you'd be a clown by now

You know, I'm still standin' better than I ever did
Lookin' like a true survivor, feelin' like a little kid
And I'm still standin' after all this time
Pickin' up the pieces of my life without you on my mind

I'm still standin' (Yeah, yeah, yeah)
I'm still standin' (Yeah, yeah, yeah)


Don't you know that I'm still standin' better than I ever did?
Lookin' like a true survivor, feelin' like a little kid
And I'm still standin' after all this time
Pickin' up the pieces of my life without you on my mind

I'm still standin' (Yeah, yeah, yeah)
I'm still standin' (Yeah, yeah, yeah)

I'm still standin' (Yeah, yeah, yeah)
I'm still standin' (Yeah, yeah, yeah)
I'm still standin' (Yeah, yeah, yeah)
I'm still standin' (Yeah, yeah, yeah)",301
Elton John,Bennie and the Jets,To Be Continued... [US Edition],"Hey kids, shake it loose together
The spotlight's hittin' somethin' that's been known to change the weather
We'll kill the fatted calf tonight, so stick around
You're gonna hear electric music, solid walls of sound

Say, Candy and Ronnie, have you seen them yet?
Ooh, but they're so spaced out
B-B-B-B-B-Bennie and the Jets
Oh, but they're weird and they're wonderful
Oh, Bennie, she's really keen

She's got electric boots, a mohair suit
You know, I read it in a magazine, oh-oh
B-B-B-Bennie and the Jets

Hey kids, plug into the faithless
Maybe they're blinded, but Bennie makes them ageless
We shall survive, let us take ourselves along
Where we fight our parents out in the streets
To find who's right and who's wrong

Oh, Candy and Ronnie, have you seen them yet?
Oh, but they're so spaced out
B-B-B-B-B-Bennie and the Jets
Oh, but they're weird and they're wonderful
Oh, Bennie, she's really keen

She's got electric boots, a mohair suit
You know, I read it in a magazine, oh-oh
B-B-B-Bennie and the Jets


Oh, Candy and Ronnie, have you seen them yet?
Oh, but they're so spaced out
B-B-B-B-B-Bennie and the Jets
Oh, but they're weird and they're wonderful
Oh, Bennie, she's really keen

She's got electric boots, a mohair suit
You know, I read it in a magazine, oh-oh
B-B-B-Bennie and the Jets

Bennie, Bennie and the Jets
Bennie, Bennie, Bennie, Bennie and the Jets
Bennie, Bennie, Bennie, Bennie, Bennie and the Jets
Bennie, Bennie, Bennie, Bennie and the Jets
Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets, the Jets, the Jets
Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",282
Elton John,Tiny Dancer,To Be Continued... [US Edition],"Blue jean baby, L.A. lady
Seamstress for the band
Pretty-eyed, pirate smile
You'll marry a music man
Ballerina, you must've seen her
Dancing in the sand
And now she's in me, always with me
Tiny dancer in my hand

Jesus freaks out in the street
Handing tickets out for God
Turning back, she just laughs
The boulevard is not that bad
Piano man, he makes his stand
In the auditorium
Looking on, she sings the songs
The words she knows, the tune she hums

But, oh, how it feels so real
Lying here with no one near
Only you, and you can hear me
When I say softly, slowly

Hold me closer, tiny dancer
Count the headlights on the highway
Lay me down in sheets of linen
You had a busy day today
Hold me closer, tiny dancer
Count the headlights on the highway
Lay me down in sheets of linen
You had a busy day today

Blue jean baby, L.A. lady
Seamstress for the band
Pretty-eyed, pirate smile
You'll marry a music man
Ballerina, you must've seen her
Dancing in the sand
And now she's in me, always with me
Tiny dancer in my hand

Oh, how it feels so real
Lying here with no one near
Only you, and you can hear me
When I say softly, slowly

Hold me closer, tiny dancer
Count the headlights on the highway
Lay me down in sheets of linen
You had a busy day today
Hold me closer, tiny dancer
Count the headlights on the highway
Lay me down in sheets of linen
You had a busy day today
Ooh",269
Elton John,Don’t Let the Sun Go Down on Me,Never Too Late: Soundtrack To The Disney+ Documentary,"I can't light no more of your darkness
All my pictures seem to fade to black and white
I'm growin' tired, and time stands still before me
Frozen here on the ladder of my life

Too late to save myself from falling
I took a chance and changed your way of life
But you misread my meanin' when I met you
Closed the door and left me blinded by the light

Don't let the sun go down on me (Don't let the sun)
Although I search myself, it's always someone else I see
I'd just allow a fragment of your life (Don't let the sun) to wander free
But losin' everything is like the sun goin' down on me

I can't find, oh, the right romantic line
But see me once and see the way I feel
Don't discard me just because you think I mean you harm
But these cuts I have, oh, they need love to help them heal

Don't let the sun go down on me (Don't let the sun)
Although I search myself, it's always someone else I see
I'd just allow a fragment of your life (Don't let the sun) to wander free
But losin' everything is like the sun goin' down on me


Don't let the sun go down on me (Don't let the sun)
Although I search myself, it's always someone else I see
I'd just allow a fragment of your life (Don't let the sun) to wander free, yeah
But losin' everything is like the sun goin' down on me",258
Elton John,"Rocket Man (I Think It’s Going to Be a Long, Long Time)",To Be Continued... [US Edition],"She packed my bags last night, pre-flight
Zero hour, 9 a.m.​​
And I'm gonna be high as a kite by then
I miss the Earth so much, I miss my wife
It's lonely out in space
On such a timeless flight

And I think it's gonna be a long, long time
'Til touchdown brings me 'round again to find
I'm not the man they think I am at home
Oh, no, no, no
I'm a rocket man
Rocket man burnin' out his fuse up here alone
And I think it's gonna be a long, long time
'Til touchdown brings me 'round again to find
I'm not the man they think I am at home
Oh, no, no, no
I'm a rocket man
Rocket man burnin' out his fuse up here alone

Mars ain't the kind of place to raise your kids
In fact, it's cold as hell
And there's no one there to raise them if you did
And all the science, I don't understand
It's just my job five days a week
A rocket man
A rocket man

And I think it's gonna be a long, long time
'Til touchdown brings me 'round again to find
I'm not the man they think I am at home
Oh, no, no, no
I'm a rocket man
Rocket man burnin' out his fuse up here alone
And I think it's gonna be a long, long time
'Til touchdown brings me 'round again to find
I'm not the man they think I am at home
Oh, no, no, no
I'm a rocket man
Rocket man burnin' out his fuse up here alone

And I think it's gonna be a long, long time
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time",359
Elton John,Can You Feel the Love Tonight,Diamonds (Deluxe),"There's a calm surrender to the rush of day
When the heat of a rolling wind can be turned away
An enchanted moment, and it sees me through
It's enough for this restless warrior just to be with you

And can you feel the love tonight? (Tonight)
It is where we are
It's enough for this wide-eyed wanderer
That we got this far
And can you feel the love tonight? (Tonight)
How it's laid to rest?
It's enough to make kings and vagabonds
Believe the very best

There's a time for everyone, if they only learn
That the twistin' kaleidoscope moves us all in turn
There's a rhyme and reason to the wild outdoors
When the heart of this star-crossed voyager beats in time with yours

And can you feel the love tonight? (Tonight)
It is where we are
It's enough for this wide-eyed wanderer
That we got this far
And can you feel the love tonight? (Tonight)
How it's laid to rest?
It's enough to make kings and vagabonds
Believe the very best

It's enough to make kings and vagabonds
Believe the very best",185
Elton John,Goodbye Yellow Brick Road,To Be Continued... [US Edition],"When are you gonna come down?
When are you going to land?
I should have stayed on the farm
I should have listened to my old man
You know you can't hold me forever
I didn't sign up with you
I'm not a present for your friends to open
This boy's too young to be singin' the blues

Ah, ah-ah, ah, ah
Ah-ah-ah, ah

So goodbye yellow brick road
Where the dogs of society howl
You can't plant me in your penthouse
I'm goin' back to my plough
Back to the howlin' old owl in the woods
Huntin' the horny-back toad
Oh, I've finally decided my future lies
Beyond the yellow brick road

Ah, ah-ah, ah, ah
Ah-ah-ah, ah

What do you think you'll do, then?
I bet they shoot down the plane
It'll take you a couple of vodka and tonics
To set you on your feet again
Maybe you'll get a replacement
There's plenty like me to be found
Mongrels who ain't got a penny
Sniffin' for tidbits like you on the ground

Ah, ah-ah, ah, ah
Ah-ah-ah, ah

So goodbye yellow brick road
Where the dogs of society howl
You can't plant me in your penthouse
I'm goin' back to my plough
Back to the howlin' old owl in the woods
Huntin' the horny-back toad
Oh, I've finally decided my future lies
Beyond the yellow brick road

Ah, ah-ah, ah, ah
Ah-ah-ah, ah",236
Elton John,Crocodile Rock,To Be Continued... [US Edition],"I remember when rock was young
Me and Susie had so much fun
Holding hands and skimming stones
Had an old gold Chevy and a place of my own
But the biggest kick I ever got
Was doing a thing called the Crocodile Rock
While the other kids were rocking 'round the clock
We were hopping and bopping to the Crocodile Rock

Well, Crocodile Rocking is something shocking
When your feet just can't keep still
I never knew me a better time, and I guess I never will
Oh, lawdy mama, those Friday nights
When Susie wore her dresses tight
And the Crocodile Rocking was out of sight

Laa, la-la-la-la-laa
La-la-la-la-laa
La-la-la-la-laa

But the years went by and the rock just died
Susie went and left us for some foreign guy
Long nights crying by the record machine
Dreaming of my Chevy and my old blue jeans
But they'll never kill the thrills we've got
Burning up to the Crocodile Rock
Learning fast as the weeks went past
We really thought the Crocodile Rock would last

Well, Crocodile Rocking is something shocking
When your feet just can't keep still
I never knew me a better time, and I guess I never will
Oh, lawdy mama, those Friday nights
When Susie wore her dresses tight
And the Crocodile Rocking was out of sight

Laa, la-la-la-la-laa
La-la-la-la-laa
La-la-la-la-laa

I remember when rock was young
Me and Susie had so much fun
Holding hands and skimming stones
Had an old gold Chevy and a place of my own
But the biggest kick I ever got
Was doing a thing called the Crocodile Rock
While the other kids were rocking 'round the clock
We were hopping and bopping to the Crocodile Rock

Well, Crocodile Rocking is something shocking
When your feet just can't keep still
I never knew me a better time, and I guess I never will
Oh, lawdy mama, those Friday nights
When Susie wore her dresses tight
And the Crocodile Rocking was out of sight

Laa, la-la-la-la-laa
La-la-la-la-laa
La-la-la-la-laa

Laa, la-la-la-la-laa
La-la-la-la-laa
La-la-la-la-laa

Laa, la-la-la-la-laa
La-la-la-la-laa
La-la-la-la-laa",346
Elton John,Cold Heart (PNAU Remix),Diamonds (Deluxe),"(Oh)
(Oh)
(Oh)
(Oh)

It's a human sign
When things go wrong
When the scent of her lingers
And temptation's strong
Cold, cold heart
Hardened by you (
Oh
)
Some things lookin' better, baby
Just passin' through (
No, no, no, no, no
)

And I think it's gonna be a long, long time
'Til touchdown brings me 'round again to find
I'm not the man they think I am at home
Oh no, no, no
And this is what I should have saidWell, I thought it, but I kept it hid

Cold, cold heart
Hardened by you (
Oh
)
Some things lookin' better, baby
Just passin' through (
No, no, no, no, no
)

And I think it's gonna be a long, long time
'Til touchdown brings me 'round again to find
I'm not the man they think I am at home
Oh no, no, no (
No, no, no, no, no
)
And this is what I should have saidWell, I thought it, but I kept it hid

Cold, cold heart (
Oh
)
Hardened by you
Some things lookin' better, baby (
Oh
)
Just passin' through (
No, no, no, no, no
)

And I think it's gonna be a long, long time
'Til touchdown brings me 'round again to find
I'm not the man they think I am at home
Oh no, no, no (
No, no, no, no, no
)
And this is what I should have said
(
And I think it's gonna be a long, long time
)
(
'Til touchdown brings me 'round again to find
)
Well, I thought it, but I kept it hid
(
I'm not the man they think I am at home
)
(
Oh, no, no, no
; 
no, no, no, no, no
)

Shoorah
 (
Oh
)
Shoorah
Shoorah
 (
Oh
)
Shoorah
(
No, no, no, no, no
)",318
