artist,title,album,lyrics,lyrics_length
Madonna,Like a Prayer,Celebration,"Life is a mystery
Everyone must stand alone
I hear you call my name
And it feels like home

When you call my name
It's like a little prayer
I'm down on my knees
I want to take you there
In the midnight hour
I can feel your power
Just like a prayer
You know I'll take you there

I hear your voice
It's like an angel sighing
I have no choice
I hear your voice
Feels like flying
I close my eyes
Oh God, I think I'm falling
Out of the sky
I close my eyes
Heaven, help me

When you call my name
It's like a little prayer
I'm down on my knees
I want to take you there
In the midnight hour
I can feel your power
Just like a prayer
You know I'll take you there

Like a child
You whisper softly to me
You're in control
Just like a child
Now I'm dancing
It's like a dream
No end and no beginning
You're here with me
It's like a dream
Let the choir sing

When you call my name
It's like a little prayer
I'm down on my knees
I wanna take you there
In the midnight hour
I can feel your power
Just like a prayer
You know I'll take you there
When you call my name
It's like a little prayer
I'm down on my knees
I wanna take you there
In the midnight hour
I can feel your power
Just like a prayer
You know I'll take you there

Life is a mystery
Everyone must stand alone
I hear you call my name
And it feels like home

Just like a prayer
Your voice can take me there
Just like a muse to me
You are a mystery
Just like a dream
You are not what you seem
Just like a prayer, no choice
Your voice can take me there

Just like a prayer, I'll take you there
It's like a dream to me (Mm, mm-mm)
Just like a prayer, I'll take you there (I'll take you there)
It's like a dream to me (Oh, oh-oh-oh yeah)
Just like a prayer, I'll take you there (I'll take you there)
It's like a dream to me (Oh yeah, yeah, yeah yeah yeah yeah)
Just like a prayer, I'll take you there (Oh, yeah)
It's like a dream to me (Oh, oh)

Just like a prayer
Your voice can take me there
Just like a muse to me
You are a mystery
Just like a dream
You are not what you seem
Just like a prayer, no choice
Your voice can take me there
Just like a prayer
Your voice can take me there
Just like a muse to me
You are a mystery
Just like a dream
You are not what you seem
Just like a prayer, no choice
Your voice can take me there
Your voice can take me there
Like a prayer

It's like a prayer, your voice can take me there
It's like a prayer
It's like a prayer, your voice can take me there
It's like a prayer
It's like a prayer, your voice can take me there
It's like a prayer
It's like a prayer, your voice can take me there
It's like a prayer",547
Madonna,La Isla Bonita,Celebration,"¿Cómo puede ser verdad?

Last night I dreamt of San Pedro
Just like I'd never gone, I knew the song
Young girl with eyes like the desert
It all seems like yesterday, not far away

Tropical the island breeze, all of nature wild and free
(Ah-ah, ah-ah, ah-ah)
This is where I long to be, La Isla Bonita
And when the samba played, the sun would set so high
(Ah-ah, ah-ah, ah-ah)
Ring through my ears and sting my eyes, your Spanish lullaby

I fell in love with San Pedro
Warm wind carried on the sea, he called to me
Te dijo, ""Te amo""
I prayed that the days would last, they went so fast

Tropical the island breeze, all of nature wild and free
(Ah-ah, ah-ah, ah-ah)
This is where I long to be, La Isla Bonita
And when the samba played, the sun would set so high
(Ah-ah, ah-ah, ah-ah)
Ring through my ears and sting my eyes, your Spanish lullaby

I want to be where the sun warms the sky
When it's time for siesta, you can watch them go by
Beautiful faces, no cares in this world
Where a girl loves a boy, and a boy loves a girl

Last night I dreamt of San Pedro
It all seems like yesterday, not far away

Tropical the island breeze, all of nature wild and free
(Ah-ah, ah-ah, ah-ah)
This is where I long to be, La Isla Bonita
And when the samba played, the sun would set so high
(Ah-ah, ah-ah, ah-ah)
Ring through my ears and sting my eyes, your Spanish lullaby
(Pa-pa-pa-pa-pa)
Tropical the island breeze, all of nature wild and free
(Ah-ah, ah-ah, ah-ah)
This is where I long to be, La Isla Bonita
And when the samba played, the sun would set so high
(Ah-ah, ah-ah, ah-ah)
Ring through my ears and sting my eyes, your Spanish lullaby

La-la-la-la-la-la-la
Te dijo, ""Te amo""
La-la-la-la-la-la-la
Él dijo que te ama
Pa-pa-pa-pa-pa-pa-pa-pa (Ah-ah, ah-ah, ah-ah)
La Isla Bonita
Ah-ah, ah-ah, ah-ah
Spanish lullaby",338
Madonna,Material Girl,Celebration,"Some boys kiss me, some boys hug me
I think they're okay
If they don't give me proper credit
I just walk away
They can beg and they can plead
But they can't see the light (That's right)
'Cause the boy with the cold hard cash
Is always Mister Right

'Cause we are living in a material world
And I am a material girl
You know that we are living in a material world
And I am a material girl

Some boys romance, some boys slow dance
That's all right with me
If they can't raise my interest
Then I have to let them be
Some boys try and some boys lie
But I don't let them play (No way)
Only boys that save their pennies
Make my rainy day

'Cause we are living in a material world
And I am a material girl
You know that we are living in a material world
And I am a material girl
Living in a material world
And I am a material girl
You know that we are living in a material world
And I am a material girl

Living in a material world (Material)
Living in a material world
Living in a material world (Material)
Living in a material world

Boys may come and boys may go
And that's all right, you see
Experience has made me rich
And now they're after me

'Cause everybody's living in a material world
And I am a material girl
You know that we are living in a material world
And I am a material girl
Living in a material world
And I am a material girl
You know that we are living in a material world
And I am a material girl

A material, a material, a material, a material world
Living in a material world (Material)
Living in a material world
Living in a material world (Material-al)
Living in a material world
Living in a material world (Material)
Living in a material world
Living in a material world (Material-al)
Living in a material world",341
Madonna,Vogue,I’m Breathless (Music from and Inspired by the Film Dick Tracy),"Strike a pose
Strike a pose
Vogue (Vogue, vogue)
Vogue (Vogue, vogue)

Look around, everywhere you turn is heartache
It's everywhere that you go (Look around)
You try everything you can to escape
The pain of life that you know (Life that you know)
When all else fails and you long to be
Something better than you are today
I know a place where you can get away
It's called a dance floor, and here's what it's for, so

Come on, vogue (Vogue)
Let your body move to the music (Move to the music)
Hey, hey, hey
Come on, vogue (Vogue)
Let your body go with the flow (Go with the flow)
You know you can do it

All you need is your own imagination
So use it, that's what it's for (That's what it's for)
Go inside for your finest inspiration
Your dreams will open the door (Open up the door)
It makes no difference if you're black or white
If you're a boy or a girl
If the music's pumping, it will give you new life
You're a superstar, yes, that's what you are, you know it

Come on, vogue (Vogue)
Let your body groove to the music (Groove to the music)
Hey, hey, hey
Come on, vogue (Vogue, vogue)
Let your body go with the flow (Go with the flow)
You know you can do it

Beauty's where you find it
Not just where you bump and grind it
Soul is in the musical
That's where I feel so beautiful
Magical, life's a ball, so
Get up on the dance floor

Vogue (Vogue, vogue)
Let your body move to the music (Move to the music)
Hey, hey, hey
Come on, vogue (Vogue, vogue)
Let your body go with the flow (Go with the flow)
You know you can do it

Vogue (Vogue)
Beauty's where you find it (Move to the music)
Vogue (Vogue)
Beauty's where you find it (Go with the flow)

Greta Garbo and Monroe
Dietrich and DiMaggio
Marlon Brando, Jimmy Dean
On the cover of a magazine
Grace Kelly, Harlow, Jean
Picture of a beauty queen
Gene Kelly, Fred Astaire
Ginger Rogers dance on air
They had style, they had grace
Rita Hayworth gave good face
Lauren, Katharine, Lana too
Bette Davis, we love you
Ladies with an attitude
Fellas that were in the mood
Don't just stand there, let's get to it
Strike a pose, there's nothing to it
Vogue
Vogue

Ooh, you've got to
Let your body move to the music
Ooh, you've got to just
Let your body go with the flow
Ooh, you've got to
Vogue",435
Madonna,Frozen,Ray of Light,"You only see what your eyes want to see
How can life be what you want it to be?
You're frozen when your heart's not open
You're so consumed with how much you get
You waste your time with hate and regret
You're broken when your heart's not open

Mmm-mmm, if I could melt your heart
Mmm-mmm, we'd never be apart
Mmm-mmm, give yourself to me
Mmm-mmm, you hold the key

Now there's no point in placing the blame
And you should know I suffer the same
If I lose you, my heart will be broken
Love is a bird, she needs to fly
Let all the hurt inside of you die
You're frozen, when your heart's not open

Mmm-mmm, if I could melt your heart
Mmm-mmm, we'd never be apart
Mmm-mmm, give yourself to me
Mmm-mmm, you hold the key


You only see what your eyes want to see
How can life be what you want it to be?
You're frozen, when your heart's not open

Mmm-mmm, if I could melt your heart
Mmm-mmm, we'd never be apart
Mmm-mmm, give yourself to me
Mmm-mmm, you hold the key
If I could melt your heart
Mmm-mmm, we'd never be apart
Mmm-mmm, give yourself to me
Mmm-mmm, you hold the key

If I could melt your heart",216
Madonna,Like a Virgin,Celebration,"I made it through the wilderness
Somehow I made it through
Didn't know how lost I was until I found you
I was beat, incomplete
I'd been had, I was sad and blue
But you made me feel
Yeah, you made me feel
Shiny and new, hoo

Like a virgin
Touched for the very first time
Like a virgin
When your heart beats next to mine

Gonna give you all my love, boy
My fear is fadin' fast
Been savin' it all for you 'cause only love can last
You're so fine and you're mine
Make me strong, yeah, you make me bold
Oh, your love thawed out
Yeah, your love thawed out
What was scared and cold

Like a virgin, hey
Touched for the very first time
Like a virgin
With your heartbeat next to mine

Woah
Woah (Ah)
Woah

You're so fine and you're mine
I'll be yours 'til the end of time
'Cause you made me feel
Yeah, you made me feel
I've nothin' to hide

Like a virgin, hey
Touched for the very first time
Like a virgin
With your heartbeat next to mine

Like a virgin
Ooh, like a virgin
Feels so good inside
When you hold me
And your heart beats
And you love me
Oh-oh, oh-oh
Oh-oh, oh-oh, oh
Ooh, baby
Yeah, can't you hear my heart beat
For the very first time?",230
Madonna,Into the Groove,Celebration,"And you can dance
For inspiration
Come on
I'm waiting

Get into the groove
Boy, you've got to prove your love to me, yeah
Get up on your feet, yeah, step to the beat
Boy, what will it be?

Music can be such a revelation
Dancin' around, you feel the sweet sensation
We might be lovers if the rhythm's right
I hope this feelin' never ends tonight

Only when I'm dancin' can I feel this free
At night, I lock the doors, where no one else can see
I'm tired of dancin' here all by myself
Tonight, I wanna dance with someone else

Get into the groove
Boy, you've got to prove your love to me, yeah
Get up on your feet, yeah, step to the beat
Boy, what will it be?

Gonna get to know you in a special way
This doesn't happen to me every day
Don't try to hide it, love wears no disguise
I see the fire burnin' in your eyes

Only when I'm dancin' can I feel this free
At night, I lock the doors, where no one else can see
I'm tired of dancin' here all by myself
Tonight, I wanna dance with someone else

Get into the groove
Boy, you've got to prove your love to me, yeah
Get up on your feet, yeah, step to the beat
Boy, what will it be? (Yeah)

Live out your fantasy here with me
Just let the music set you free
Touch my body, and move in time
Now I know you're mine (You've got to)

Get into the groove
Boy, you've got to prove your love to me
Get up on your feet, yeah, step to the beat
Boy, what will it be?

Only when I'm dancin' can I feel this free
At night I lock the door, where no one else can see
I'm tired of dancin' here all by myself
Tonight, I wanna dance with someone else

Live out your fantasy here with me
Just let the music set you free
Touch my body, and move in time
Now I know you're mine
Now I know you're mine
Now I know you're mine
Now I know you're mine
Now I know you're mine (You've got to)

Get into the groove
Boy, you've got to prove your love to me, yeah
Get up on your feet, yeah, step to the beat
Boy, what will it be? (Yeah; you've got to)
Get into the groove
Boy, you've got to prove your love to me
Get up on your feet, yeah, step to the beat
Boy, what will it be? (You've got to)
Get into the groove
Boy, you've got to prove your love to me, yeah
Get up on your feet, yeah, step to the beat
Boy, what will it be? (You've got to)
Get into the groove
Boy, you've got to prove your love to me
Get up on your feet, yeah, step to the beat
Boy, what will it be?",497
Madonna,Hung Up,Celebration,"Time goes by so slowly
Time goes by so slowly
Time goes by so slowly
Time goes by so slowly
Time goes by so slowly
Time goes by so slowly

Every little thing that you say or do
I'm hung up, I'm hung up on you
Waiting for your call, baby, night and day
I'm fed up, I'm tired of waiting on you

Time goes by so slowly for those who wait
No time to hesitate
Those who run seem to have all the fun
I'm caught up, I don't know what to do

Time goes by so slowly
Time goes by so slowly
Time goes by so slowly
I don't know what to do

Every little thing that you say or do
I'm hung up, I'm hung up on you
Waiting for your call, baby, night and day
I'm fed up, I'm tired of waiting on you
Every little thing that you say or do
I'm hung up, I'm hung up on you
Waiting for your call, baby, night and day
I'm fed up, I'm tired of waiting on you

Ring, ring, ring goes the telephone
The lights are on, but there's no one home
Tick tick tock, it's a quarter to two
And I'm done, I'm hanging up on you

I can't keep on waiting for you
I know that you're still hesitating
Don't cry for me, 'cause I'll find my way
You'll wake up one day, but it'll be too late

Every little thing that you say or do
I'm hung up, I'm hung up on you
Waiting for your call, baby, night and day
I'm fed up, I'm tired of waiting on you
Every little thing that you say or do
I'm hung up, I'm hung up on you
Waiting for your call, baby, night and day
I'm fed up, I'm tired of waiting on you

Every little thing, every little thing
I'm hung up, I'm hung up on you
Waiting for your call, waiting for your call
I'm fed up, I'm tired of waiting on you

Time goes by so slowly
Time goes by so slowly
Time goes by so slowly
Time goes by so slowly
So slowly, so slowly, so slowly
So slowly, so slowly, so slowly
So slowly, so slowly, so slowly
So slowly, so slowly, so slowly, so slowly, so
I don't know what to do

Every little thing that you say or do
I'm hung up, I'm hung up on you
Waiting for your call, baby, night and day
I'm fed up, I'm tired of waiting on you
Every little thing that you say or do
I'm hung up, I'm hung up on you
Waiting for your call, baby, night and day
I'm fed up, I'm tired of waiting on you

Every little thing, every little thing
I'm hung up, I'm hung up on you
Waiting for your call, waiting for your call
I'm fed up, I'm tired of waiting on you",491
Madonna,Bitch I’m Madonna,Rebel Heart (Super Deluxe Edition),"(Ooh-ooh-ooh-ooh-ooh)
(Ooh-ooh-ooh-ooh-ooh) (Love this...)
You're gonna love this
(Ooh-ooh-ooh-ooh-ooh)
You can't touch this
(Ooh-ooh-ooh-ooh-ooh)
'Cause I'm a bad bitch

We hit the elevator right up to the rooftop
The bass is pumping, make me wanna screw the top off
Yeah, we'll be drinkin' and nobody's gonna stop us
And we'll be kissin' anybody that's around us

I just wanna have fun tonight (Blow up this shit tonight)
Put me under the flashin' light
Oh-oh-oh-oh
Let me blow up this house tonight (Gonna blow up)


We go hard or we go home
We gon' do this all night long
We get freaky if you want
Na-na-na-na-na
We go hard or we go home
We gon' do this all night long
We get freaky if you want
Bitch, I'm Madonna

Bitch, bitch I'm Madonna
Bitch, bitch I'm Madonna

We're jumpin' in the pool and swimming with our clothes on
I poured a beer into my shoe and got my freak on
The neighbor's pissed and says he's gonna call the Five-O
If they show up then we are gonna give a good show

I just wanna go out tonight
Put me under the flashin' light
Oh-oh-oh-oh
Let me blow up this house tonight (Gon' blow up)

Uh
Beep-beep, bitch, move

We go hard or we go home
We gon' do this all night long
We get freaky if you want
Na-na-na-na-na (Ooh)
We go hard or we go home
We gon' do this all night long
We get freaky if you want
Bitch, I'm Madonna

Bitch, I'm Madonna
Bitch, bitch, I'm Madonna
Bitch, I'm Madonna
Bitch, I'm Madonna
Bitch, bitch, I'm Madonna
Bitch, I'm Madonna

(Bitch, I'm Madonna, bitch, I'm Madonna) Who do you think you are?
(Bitch, bitch, I'm Madonna, bitch, I'm Madonna) You can't mess with this lucky star
(Bitch, I'm Madonna, bitch, I'm Madonna) Oh-oh-oh-oh
Who do you think you are?

Uh, p-p-p-poured up with my nose up and that rose up in that thinga
I'm froze up with my stove up 'cause he eatin' like it's his dinner
I run shit, I don't fall back 'cause I'm on track, I'm a sprinter
I'm bossed up, I got 'em awestruck, it's not a toss-up, I'm the winner
Beep-b-b-beep-beep, bitch move, 'fore I bang-bang with that Uzi
That's Miu Miu on my shoes, ain't got a thing left for me to prove (Uh)
It's that bottle service all night, it's that pop and urban just right
It's that ""go hard or go home"" zone, bitch
I'm Madonna, these hoes know

We go hard or we go home
We gon' do this all night long
We get freaky if you want
Na-na-na-na-na (Ooh)
We go hard or we go home
We gon' do this all night long
We get freaky if you want
Bitch, I'm Madonna

(Ooh-ooh-ooh-ooh-ooh)
We do it like this
(Ooh-ooh-ooh-ooh-ooh)
You're gonna love this
(Ooh-ooh-ooh-ooh-ooh)
You can't touch this
(Ooh-ooh-ooh-ooh-ooh)
'Cause I'm a bad bitch
Who do you think you are? ('Cause I'm a bad bitch)
Who do you think you are? ('Cause I'm a bad bitch)
Who do you think you are? ('Cause I'm a bad bitch)
Who do you think you are?

Go-hard-or-go-home zone, bitch
I'm Madonna, these hoes know
Go-hard-or-go-home zone, bitch
I'm Madonna, these hoes know",542
Madonna,Medellín,Madame X (International Deluxe),"One, two, one, two
One, two, cha-cha-cha
One, two, two, one
Two, one, cha, cha-cha-cha

I took a pill and had a dream (
Yo también
)
I went back to my 17th year
Allowed myself to be naive (
Dime
)
To be someone I've never been (
Me encanta
)
I took a sip and had a dream
And I woke up in Medellín (
¿Te gusta?
)
The sun was caressing my skin (Dime)
Another me could now begin (Woo)

Tranquila, baby, yo te apoyo
No hay que hablarnos mucho para entrar en rollo
Si quieres ser mi reina pues yo te corono
Y pa' que te sientes aquí tengo un trono
Te gusta cabalgar, eso está claro
Si sientes que voy rápido le bajo
Discúlpame, yo sé que eres Madonna
Pero te voy a demostrar cómo este perro te enamora

Ven conmigo, let's take a trip
Si te llevo pa' un lugar lejano
Ven conmigo, I'll be so good for you
Te enamoro, te enamoro, mami (Ay-ay-ay)
Ven conmigo, let's take a trip
Dame de eso que tú estás tomando
Ven conmigo, I'll be so good for you
(Ay-ay-ay)

Sipping my pain just like champagne
Found myself dancing in the rain with you
I felt so naked and alive (Show me)
For once I didn't have to hide myself (Dice)

Oye mamacita, ¿qué te pasa? (Dime)
Mira que ya estamos en mi casa (Yeah)
Si siente' que hay un viaje ahí en tu mente (Woo)
Será por el exceso de Aguardiente (Dile)
Pero, mami, tranquila, tú solo vacila
Que estamos en Colombia, aquí hay rumba en cada esquina
Y si tú quieres nos vamos por Detroit (Tú sabe')
Si sé de dónde vienes pues sé pa' donde voy

Ven conmigo, let's take a trip
Si te llevo pa' un lugar lejano
Ven conmigo, I'll be so good for you
Te enamoro, te enamoro, mami (Ay-ay-ay)
Ven conmigo, let's take a trip
Dame de eso que tú estás tomando
Ven conmigo, I'll be so good for you (Okay)

Si te enamoro (Si me enamoras)
En menos de un año, no, no (Hahaha)
No' vamo', no' vamo', no vamo' pa' Medallo
 (Ay, qué rico)
Si te enamoro (Si me enamoras)
Es lo que amo, no, no
Pue' mami, pue' mami, pue' mami, nos casamos
(Cha-cha-cha)

One, two, cha-cha-cha
One, two, cha-cha-cha
One, two, cha-cha-cha
One, two, slow down, papi (Woo)
One, two, cha-cha-cha
One, two, cha-cha-cha
One, two, cha-cha-cha
One, two, ay-ay-ay

We built a cartel just for love
Venus was hovering above us (Oh, yeah)
I took a trip, it set me free (Mi reina)
Forgave myself for being me (Ay-ay-ay)

Ven conmigo, let's take a trip
Si te llevo pa' un lugar lejano
Ven conmigo, I'll be so good for you
Te enamoro, te enamoro, mami (Ay-ay-ay)
Ven conmigo, let's take a trip
Dame de eso que tú estás tomando
Ven conmigo, I'll be so good for you

Si te enamoro (Si me enamoras)
En menos de un año, no, no
No' vamo', no' vamo', no vamo' pa' Medallo
 (Ay, qué rico)
Si te enamoro (Si me enamoras)
Es lo que amo, no, no
Pue' mami, pue' mami, pue' mami, nos casamos
(Cha-cha-cha)

One, two, cha-cha-cha
One, two, cha-cha-cha
One, two, cha-cha-cha
One, two, slow down, papi
One, two, cha-cha-cha
One, two, cha-cha-cha
One, two, cha-cha-cha
One, two, ay-ay-ay
One, two, two, one
One, two, two, one
One, one, two, two
Cha, cha-cha-cha",577
