artist,title,album,lyrics,lyrics_length
Michael Jackson,Billie Jean,The Ultimate Fan Extras Collection,"She was more like a beauty queen from a movie scene, uh
I said, ""Don't mind, but what do you mean, I am the one?
Who will dance on the floor in the round?""
She said I am the one
Who will dance on the floor in the round?
She told me her name was Billie Jean as she caused a scene
Then every head turned with eyes that dreamed of bein' the one, uh
Who will dance on the floor in the round?

People always told me, ""Be careful of what you do,"" uh
""And don't go around breakin' young girls' hearts"" (Hee-hee)
And mother always told me, ""Be careful of who you love
And be careful of what you do (Oh, oh)
'Cause the lie becomes the truth"" (Oh, oh), hey

Billie Jean is not my lover, uh
She's just a girl who claims that I am the one (Oh, baby)
But the kid is not my son (Woo)
Uh, she says I am the one (Oh, baby)
But the kid is not my son (Hee-hee-hee; no, no)
(Hee-hee-hee, woo)

For forty days and for forty nights, the law was on her side
But who can stand when she's in demand? Her schemes and plans
'Cause we danced on the floor in the round (Hee, uh, uh)
So take my strong advice
Just remember to always think twice (Don't think twice)
Do think twice (A-hoo)
She told my baby we danced 'til three, then she looked at me
Then showed a photo of a baby cryin', his eyes were like mine (Oh, no)
'Cause we danced on the floor in the round, baby (Ooh, hee-hee-hee)

People always told me, ""Be careful of what you do,"" uh
""And don't go around breakin' young girls' hearts"" (Don't break no hearts; hee-hee)
But she came and stood right by me
Just the smell of sweet perfume (Ha-oh)
This happened much too soon (Ha-oh, ha-ooh)
She called me to her room (Ha-oh, hoo), hey

Billie Jean is not my lover (Woo)
She's just a girl who claims that I am the one, uh
But the kid is not my son, uh
No-no-no, uh, no-no-no, no-no-no (Woo)
Billie Jean is not my lover, uh
She's just a girl who claims that I am the one
But the kid is not my son (No, no)
She says I am the one (Oh, baby)
But the kid is not my son (No, hee-hee-hee)
(Ah-hee-hee-hee)

Hee, hoo
(Chicka-boom, chicka-boom, chicka-boom, chicka-boom)

She says I am the one, uh
But the kid is not my son (No-no-no, woo, uh)
Billie Jean is not my lover, uh
She's just a girl who claims that I am the one (You know what you did to me, baby)
But the kid is not my son
No-no-no (No-no-no, ah), no-no-no-no (No-no-no)
She says I am the one (No, baby)
But the kid is not my son (No-no-no-no; woo, uh)

She says I am the one (You know what you did)
She says he is my son (Breakin' my heart, babe)
She says I am the one
Yeah, yeah, Billie Jean is not my lover, uh
Yeah, Billie Jean is not my lover, uh
Yeah, Billie Jean is not my lover, uh (She is just a girl)
Yeah, Billie Jean is not my lover, uh (She is just a girl; don't call me Billie Jean, hoo)
Billie Jean is not my lover, uh (She is just a girl; she's not at the scene)
Billie Jean is not (Hee), aaow, ooh
Yeah, Billie Jean is",592
Michael Jackson,Smooth Criminal,The Indispensable Collection,"Ow!
Cha!
Shoo-ca-choo-ca!

As he came into the window
Was a sound of a crescendo
He came into her apartment
He left the bloodstains on the carpet
She ran underneath the table
He could see she was unable
So she ran into the bedroom
She was struck down, it was her doom

Annie, are you okay?
So, Annie, are you okay? Are you okay, Annie?
Annie, are you okay?
So, Annie, are you okay? Are you okay, Annie?
Annie, are you okay?
So, Annie, are you okay? Are you okay, Annie?
Annie, are you okay?
So, Annie, are you okay? Are you okay, Annie?

Annie, are you okay?
Will you tell us that you're okay?
There's a sound at the window
Then he struck you, a crescendo, Annie
He came into your apartment
Left the bloodstains on the carpet
And then you ran into the bedroom
You were struck down
It was your doom

Annie, are you okay?
So, Annie, are you okay? Are you okay, Annie?
Annie, are you okay?
So, Annie, are you okay? Are you okay, Annie?
Annie, are you okay?
So, Annie, are you okay? Are you okay, Annie?

You've been hit by—
You've been hit by—
A smooth criminal
Ow!

So they came in to the out way
It was Sunday, what a black day
Mouth-to-mouth resuscitation
Sounding heartbeats, intimidations

Annie, are you okay?
So, Annie, are you okay? Are you okay, Annie?
Annie, are you okay?
So, Annie, are you okay? Are you okay, Annie?
Annie, are you okay?
Annie, are you okay? Are you okay?
Annie, are you okay?
So, Annie, are you okay? Are you okay, Annie?
Annie, are you okay?
So, Annie, are you okay? Are you okay, Annie?

Annie, are you okay?
Will you tell us that you're okay?
There's a sound at the window
Then he struck you, a crescendo, Annie
He came into your apartment
Left the bloodstains on the carpet
And then you ran into the bedroom
You were struck down
It was your doom

Annie, are you okay? Annie, are you okay?
Are you okay, Annie?

You've been hit by—
You've been struck by—
A smooth criminal

Choo-cha, choo-cha
Ow!
Okay, I want everybody to clear the area right now!

Ow!
Hoo!
Hoo!
Hoo!
Hoo!
Ow!

Annie, are you okay? (I don't know)
Will you tell us that you're okay? (I don't know)
There's a sound at the window (I don't know)
Then he struck you, a crescendo, Annie (I don't know)
He came into your apartment (I don't know)
Left the bloodstains on the carpet (I don't know why, baby)
And then you ran into the bedroom (Help me)
You were struck down
It was your doom, Annie (Doggone it)
Annie, are you okay? (Doggone it, Annie)
Will you tell us that you're okay? (Doggone it, Annie)
There's a sound at the window (Doggone it, Annie)
Then he struck you, a crescendo Annie (Hoo! Hoo!)
He came into your apartment, (Doggone it)
Left the bloodstains on the carpet (Hoo!)
And then you ran into the bedroom (Hoo! Hoo!)
You were struck down (Doggone it)
It was your doom, Annie (Ow!)

Ow!
Ow!
Shoo-cha-choo, shoo-cha-choo!
Ow!
Ow!",531
Michael Jackson,Wanna Be Startin’ Somethin’,The Indispensable Collection,"Ooh

I said you wanna be startin' somethin'
You got to be startin' somethin'
I said you wanna be startin' somethin'
You got to be startin' somethin'

It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)
It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)

I took my baby to the doctor
With a fever, but nothin' he found
By the time this hit the street
They said she had a breakdown
Someone's always tryin'
To start my baby cryin'
Talkin', squealin', lyin'
Sayin' you just want to be startin' somethin'

I said you wanna be startin' somethin'
You got to be startin' somethin'
I said you wanna be startin' somethin'
You got to be startin' somethin'

It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)
It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)

You love to pretend that you're good
When you're always up to no good
You really can't make him hate her
So your tongue became a razor
Someone's always tryin'
To keep my baby cryin'
Treacherous, cunnin', declinin'
You got my baby cryin'

I said you wanna be startin' somethin' (Hee)
You got to be startin' somethin'
I said you wanna be startin' somethin'
You got to be startin' somethin'

It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)
It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)

You're a vegetable (You're a vegetable)
You're a vegetable (You're a vegetable)
Still, they hate you (Still, they hate you)
You're a vegetable (You're a vegetable)
You're just a buffet (You're just a buffet; you're a vegetable)
You're a vegetable (You're a vegetable)
They eat off of you (They eat off of you; you're a vegetable)
You're a vegetable, ow

Billie Jean is always talkin'
When nobody else is talkin'
Tellin' lies and rubbin' shoulders
So they called her mouth a motor
Someone's always tryin'
To start my baby cryin'
Talkin', squealin', spyin'
Sayin' you just want to be startin' somethin'

I said you wanna be startin' somethin'
You got to be startin' somethin'
I said you wanna be startin' somethin'
You got to be startin' somethin'

It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)
It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)

You're a vegetable (You're a vegetable)
You're a vegetable (You're a vegetable)
Still, they hate you (Still, they hate you)
You're a vegetable (You're a vegetable)
You're just a buffet (You're just a buffet; you're a vegetable)
You're a vegetable (You're a vegetable)
They eat off of you (They eat off of you; you're a vegetable)
You're a vegetable, ow

Ow
(Hee-hee-hee, ha) Ooh

If you can't feed your baby (Yeah, yeah)
Then don't have a baby (Yeah, yeah)
And don't think maybe (Yeah, yeah)
If you can't feed your baby (Yeah, yeah)
You'll be always tryin'
To stop that child from cryin'
Hustlin', stealin', lyin'
Now baby's slowly dyin'

I said you wanna be startin' somethin'
You got to be startin' somethin'
I said you wanna be startin' somethin'
You got to be startin' somethin'

It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)
It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)

Lift your head up high
And scream out to the world
""I know I am someone""
And let the truth unfurl (Hee-hee-hee, ha)
No one can hurt you now
Because you know what's true
Yes, I believe in me
So you believe in you
Help me sing it

Mama-say, mama-sa, ma-ma-ko-ssa (Hoo-hoo)
Mama-say, mama-sa, ma-ma-ko-ssa (Hee-hee-hee)
Mama-say, mama-sa, ma-ma-ko-ssa (Hee-hee-hee)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Help me sing it, babe)
Mama-say, mama-sa, ma-ma-ko-ssa (Hee-hee-hee)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Yeah, sing it to the world)
Mama-say, mama-sa, ma-ma-ko-ssa (Sing it out loud)
Mama-say, mama-sa, ma-ma-ko-ssa (Hoo-hoo)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Help me sing it)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Hoo-hoo)
Mama-say, mama-sa, ma-ma-ko-ssa (Hee-hee-hee)
Mama-say, mama-sa, ma-ma-ko-ssa (Help me sing it)
Mama-say, mama-sa, ma-ma-ko-ssa (Hoo-hoo)
Mama-say, mama-sa, ma-ma-ko-ssa (Hee-hee-hee)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Sing it to the world)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Hoo-hoo)
Mama-say, mama-sa, ma-ma-ko-ssa (Hee-hee-hee)
Mama-say, mama-sa, ma-ma-ko-ssa (Hee-hee-hee)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Help me sing it, babe)
Mama-say, mama-sa, ma-ma-ko-ssa (Hee-hee-hee)
Mama-say, mama-sa, ma-ma-ko-ssa (Hee)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Yeah)
Mama-say, mama-sa, ma-ma-ko-ssa (Sing it to the world)
Mama-say, mama-sa, ma-ma-ko-ssa (Sing it out loud)
Mama-say, mama-sa, ma-ma-ko-ssa (Hoo-hoo)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa",964
Michael Jackson,Heal the World,The Indispensable Collection,"Think about, um, the generations, and, uh, say we wanna make it a better place for our children and children's children so that they, they, they s— they know it's a better world for them. Think they can make it a better place

There's a place in your heart
And I know that it is love
And this place could much brighter than tomorrow
And if you really try
You'll find there's no need to cry
In this place, you'll feel there's no hurt or sorrow

There are ways to get there
If you care enough for the living
Make a little space
Make a better place

Heal the world
Make it a better place
For you and for me and the entire human race
There are people dying
If you care enough for the living
Make a better place for you and for me

If you want to know why
There's a love that cannot lie
Love is strong, it only cares for joyful giving
If we try, we shall see
In this bliss, we cannot feel
Fear or dread, we stop existing and start living

Then it feels that always
Love's enough for us growing
Make a better world
Make a better world

Heal the world
Make it a better place
For you and for me and the entire human race
There are people dying
If you care enough for the living
Make a better place for you and for me

And the dream we were conceived in will reveal a joyful face
And the world we once believed in will shine again in grace
Then why do we keep strangling life
Wound this Earth, crucify its soul?
Though it's plain to see this world is heavenly
Be God's glow

We could fly so high
Let our spirits never die
In my heart, I feel you are all my brothers
Create a world with no fear
Together we'll cry happy tears
See the nations turn their swords into plowshares

We could really get there
If you cared enough for the living
Make a little space
To make a better place

Heal the world
Make it a better place
For you and for me and the entire human race
There are people dying
If you care enough for the living
Make a better place for you and for me
Heal the world
Make it a better place (Better place)
For you and for me and the entire human race
There are people dying
If you care enough for the living
Make a better place for you and for me
Heal the world (Heal the world)
Make it a better place (Better place)
For you and for me and the entire human race (Oh, no)
There are people dying (Oh)
If you care enough for the living
Make a better place for you and for me

(Yeah) There are people dying (Oh)
If you care enough for the living
(Then) Make a better place for you and for me
(Everyone, there are) There are people dying (Oh)
If you care enough for the living
Make a better place for you and for me

(
You and for me
) Make a better place
(You and for me) Make a better place
(You and for me) Make a better place
(You and for me) Heal the world we live in
(You and for me) Save it for our children
(You and for me) Heal the world we
 live in
(You and for me) Save it for our children
(You and for me) Heal the world we live in
(You and for me) Save it for our children
(You and for me) Heal the world we
 live in
(You and for me) Save it for our children",625
Michael Jackson,Thriller,The Indispensable Collection,"It's close to midnight
And something evil's lurking in the dark
Under the moonlight
You see a sight that almost stops your heart
You try to scream
But terror takes the sound before you make it
You start to freeze
As horror looks you right between the eyes
You're paralyzed

'Cause this is thriller, thriller night
And no one's gonna save you
From the beast about to strike
You know it's thriller, thriller night
You're fighting for your life inside a killer
Thriller tonight, yeah
Ooh

You hear the door slam
And realize there's nowhere left to run
You feel the cold hand
And wonder if you'll ever see the sun
You close your eyes
And hope that this is just imagination (Girl)
But all the while
You hear a creature creepin’ up behind
You're out of time

'Cause this is thriller, thriller night
There ain't no second chance
Against the thing with forty eyes, girl
Thriller (Ooh), thriller night
You're fighting for your life
Inside a killer, thriller tonight

Night creatures call
And the dead start to walk in their masquerade
There's no escaping the jaws of the alien this time
(They're open wide)
This is the end of your life, ooh

They're out to get you
There's demons closing in on every side (Ooh)
They will possess you
Unless you change that number on your dial
Now is the time
For you and I to cuddle close together, yeah
All through the night
I'll save you from the terror on the screen
I'll make you see

That this is thriller, thriller night
'Cause I can thrill you more
Than any ghoul would ever dare try
Thriller (Ooh), thriller night
So let me hold you tight
And share a killer, thriller, chiller
Thriller, here tonight
'Cause this is thriller, thriller night
Girl, I can thrill you more
Than any ghoul would ever dare try
Thriller (Ooh), thriller night
So let me hold you tight
And share a killer, thriller (Ow)

I'm gonna thrill you tonight
Darkness falls across the land
The midnight hour is close at hand
Creatures crawl in search of blood
To terrorize y'all's neighborhood (I'm gonna thrill you tonight)
And whosoever shall be found
Without the soul for getting down
Must stand and face the hounds of hell
And rot inside a corpse's shell
I'm gonna thrill you tonight
Thriller, ooh, babe (Thriller)
I'm gonna thrill you tonight (Thriller night)
Thriller, oh, darling (Oh, baby)
I'm gonna thrill you tonight (Thriller)
Ooh, babe (Thriller night)
I'm gonna thrill you tonight (Thriller)
Oh, darling (Oh, baby)
Thriller night, babe (Thriller night, babe)
Ooh
The foulest stench is in the air
The funk of forty thousand years (
Thriller night, thriller
)
And grisly ghouls from every tomb
Are closing in to seal your doom
And though you fight to stay alive
Your body starts to shiver (I'm gonna thrill you tonight)
For no mere mortal can resist
The evil of the thriller",495
Michael Jackson,They Don’t Care About Us,The Indispensable Collection,"All I wanna say is that they don't really care about us
Don't worry what people say, we know the truth
All I wanna say is that they don't really care about us
Enough is enough of this garbage!
(Okay, alright, alright, alright)
All I wanna say is that they don't really care about us

Skinhead, dead head
Everybody gone bad
Situation, aggravation
Everybody, allegation
In the suit, on the news
Everybody, dog food
Bang-bang, shot dead
Everybody's gone mad

All I wanna say is that they don't really care about us
All I wanna say is that they don't really care about us

Beat me, hate me
You can never break me
Will me, thrill me
You can never kill me
Jew me, sue me
Everybody, do me
Kick me, kike me
Don't you black-or-white me

All I wanna say is that they don't really care about us
All I wanna say is that they don't really care about us

And tell me, what has become of my life?
I have a wife and two children who love me
I am a victim of police brutality now (Hee)
I'm tired of bein' a victim of hate
You're rapin' me of my pride, oh, for God's sake
I don't like havin' to fulfill this prophecy
Set me free

Skinhead, dead head
Everybody gone bad
Trepidation, speculation
Everybody, allegation
In the suit, on the news
Everybody, dog food
Black man, blackmail
Throw the brother in jail

All I wanna say is that they don't really care about us
All I wanna say is that they don't really care about us

And tell me, what has become of my rights?
Am I invisible 'cause you ignore me?
Your proclamation promised me free liberty now (Hee)
I'm tired of bein' a victim of shame
You're throwin' me in a class with a bad name
I can't believe this is the land from which I came

You know, I really do hate to say it
The government don't wanna see
But if Roosevelt was livin'
He wouldn't let this be, no, no

Skinhead, dead head
Everybody gone bad
Situation, speculation
Everybody, litigation
Beat me, bash me
You can never trash me
Hit me, kick me
You can never get me

All I wanna say is that they don't really care about us
All I wanna say is that they don't really care about us


Some things in life
They just don't wanna see
But if Martin Luther was livin'
He wouldn't let this be
No, no, no, yeah, yeah, yeah, yeah

Skinhead, dead head
Everybody's gone bad
Situation, segregation (Hoo-hoo)
Everybody, allegation
In the suit, on the news (Hoo-hoo)
Everybody, dog food
Kick me, kike me
Don't you wrong-or-right me (Deep in the fire)

All I wanna say is that they don't really care about us
We're deep in the fire (Hoo-hoo)
All I wanna say is that they don't really care about us
I'm there to remind you (Hoo-hoo)
All I wanna say is that they don't really care about us (Hee)
Don't you sit back and watch the beatin'
All I wanna say is that they don't really care about (Hoo-hoo)
All I wanna say is that they don't really care about (Hoo-hoo)
All I wanna say is that they don't really care about us (Hee-hee-hee)
Hee-hee, hoo-hoo",556
Michael Jackson,Man in the Mirror,The Indispensable Collection,"I'm gonna make a change for once in my life
It's gonna feel real good
Gonna make a difference, gonna make it right
As I turned up the collar on my favorite winter coat
This wind is blowin' my mind
I see the kids in the street with not enough to eat
Who am I to be blind, pretending not to see their needs?

A summer's disregard, a broken bottle top
And a one man's soul
They follow each other on the wind, ya know
'Cause they got nowhere to go
That's why I want you to know

I'm starting with the man in the mirror
I'm asking him to change his ways
And no message could have been any clearer
If you wanna make the world a better place
Take a look at yourself and then make a change

Na-na-na, na-na-na, na-na, na-na
Uh-huh

I've been a victim of a selfish kinda love
It's time that I realize
There are some with no home
Not a nickel to loan
Could it be really me pretending that they're not alone?

A willow deeply scarred, somebody's broken heart
And a washed-out dream (Washed-out dream)
They follow the pattern of the wind, ya see
'Cause they got no place to be
That's why I'm starting with me

I'm starting with the man in the mirror (Who?)
I'm asking him to change his ways (Who?)
And no message could have been any clearer
If you wanna make the world a better place
Take a look at yourself and then make a change
I'm starting with the man in the mirror (Who?)
I'm asking him to change his ways (Who?)
And no message could have been any clearer
If you wanna make the world a better place
Take a look at yourself and then make that change
I'm starting with the man in the mirror (Man in the mirror, oh, yeah)
I'm asking him to change his ways (Change his ways)
(Come on, change)
And no message (Ooh, ooh) could have been any clearer

If you wanna make the world a better place
Take a look at yourself and then make the change
You gotta get it right while you got the time
'Cause when you close your heart (You can't)
Then you close your mind (Close your, your mind!)

(That man, that man) I'm starting with the man in the mirror
(That man)
(Ohh yeah!)
(That man, that man) I'm asking him to change his ways
(That man, the man, you know, that man)
(Well I'll change!)
And no message could have been any clearer
If you want to make the world a better place
Take a look at yourself and then make that
(Take a look at yourself and then make that)
Change!

Hoo, hoo (Na-na-na, na-na-na, na-na, na-na), hoo, hoo, hoo, hoo, hoo!
Gonna feel real good (Oh, yeah)
Yeah, yeah, yeah, yeah (Na-na-na, na-na-na, na-na, na-na)
Yeah, yeah, oh no, oh no

I'm gonna make a change
It's gonna feel real good, shamone (Change)
Just lift yourself, you know
You've got to start with yourself brother, (Yeah) hoo!
(Make that change) I gotta make that change today, hoo! (Man in the mirror) You've got to, you got to start with yourself, brother, hoo! (Yeah)
You know (Make that change)
I started with that man, that man (Man in the mirror)
You've got to, you've got to move, shamone, shamone
You've got to stand up (Yeah), stand up (Make that change), stand up, stand up and lift yourself now (Man in the mirror)
Hoo, hoo, hoo! Aaow! (Yeah, make that change)
Go make that change, shamone (Man in the mirror)
You know it, you know it, you know it, you know (Change)
Make that change",624
Michael Jackson,Human Nature,The Indispensable Collection,"Why?

Looking out across the nighttime
The city winks a sleepless eye
Hear her voice, shake my window
Sweet seducing sighs
Get me out into the nighttime
Four walls won't hold me tonight
If this town is just an apple
Then let me take a bite

If they say why (Why?), why (Why?)
Tell 'em that it's human nature
Why (Why?), why (Why?), does he do me that way?
If they say why (Why?), why (Why?)
Tell 'em that it's human nature
Why (Why?), why (Why?), does he do me that way?

Reaching out to touch a stranger
Electric eyes are everywhere
See that girl, she knows I'm watching
She likes the way I stare

If they say why (Why?), why (Why?)
Just tell 'em that it's human nature
Why (Why?), why (Why?), does he do me that way?
If they say why (Why?), why (Why?)
(She's giving in by keeping him a-round)
Tell 'em that it's human nature
Why (Why?), why (Why?), does he do me that way?

I like livin' this way
I like lovin' this way
(That way) Why? Oh, why?
(That way) Why? Oh, why?

Looking out across the morning
The city's heart begins to beat
Reaching out, I touch her shoulder
I'm dreaming of the street

If they say why (Why?), why (Why?)
Tell 'em that it's human nature
Why (Why?), why (Why?), does he do me that way?
If they say why (Why?), why (Why?)
(She's giving in by keeping him a-round)
Ooh-ooh, tell 'em!
Why (Why?), why (Why?), does he do me that way?
If they say why (Why?), why (Why?), why (Why?)
Cha-da-cha-sha-sha-sha-sha-sha (Aah-ah)
Why (Why?), why (Why?), does he do me that way?
If they say why (Why? Why?), why (Why? Why? Why?)
(She's giving in by keeping him a-round)
Ooh-ooh, tell 'em! (Aah-ah)
Why (Why?), why (Why?), does he do me that way?
If they say why (Why?), why (Why?), why (Why?)
Ooh, tell 'em!
Why (Why?), why (Why?), does he do me that way?
If they say why (Why?), why (Why?)
(She's giving in by keeping him a-round)
Da-da-da-da-da-da-da-da
Why (Why?), why (Why?), does he do me that way?
I like living this way

Why? Oh, why? (That way)
Why? Oh, why? (That way)
Why? Oh, why? (That way)",380
Michael Jackson,Beat It,The Ultimate Fan Extras Collection,"They told him, ""Don't you ever come around here
Don't wanna see your face, you better disappear""
The fire's in their eyes and their words are really clear
So beat it, just beat it
You better run, you better do what you can
Don't wanna see no blood, don't be a macho man (Ooh)
You wanna be tough, better do what you can
So beat it, but you wanna be bad

Just beat it (Beat it), beat it (Beat it)
No one wants to be defeated
Showin' how funky and strong is your fight
It doesn't matter who's wrong or right

Just beat it (Beat it), just beat it (Beat it)
Just beat it (Beat it), just beat it (Beat it)
Ooh

They're out to get you, better leave while you can
Don't wanna be a boy, you wanna be a man
You wanna stay alive, better do what you can
So beat it, just beat it (Ooh)
You have to show them that you're really not scared (Ooh)
You're playin' with your life, this ain't no truth or dare (Ooh)
They'll kick you, then they'll beat you, then they'll tell you it's fair
So beat it, but you wanna be bad

Just beat it (Beat it), beat it (Beat it)
No one wants to be defeated
Showin' how funky and strong is your fight
It doesn't matter who's wrong or right
Just beat it (Beat it), beat it (Beat it)
No one wants to be defeated
Showin' how funky and strong is your fight
It doesn't matter who's wrong or right

Just beat it
Beat it
Beat it
Beat it
Beat it


Beat it (Beat it), beat it (Beat it)
No one wants to be defeated
Showin' how funky and strong is your fight
It doesn't matter who's wrong or right (Who's wrong, who's right)
Just beat it (Beat it; hoo-hoo), beat it (Beat it)
No one wants to be defeated (No, no)
Showin' how funky and strong is your fight (Hee-hee, hee-hee-hee)
It doesn't matter who's wrong or right
Just beat it (Beat it), beat it (Beat it)
No one wants to be defeated (Oh, no)
Showin' how funky and strong is your fight (Hoo-hoo, hee-hee)
It doesn't matter who's wrong or right (Hoo)
Just beat it (Beat it), beat it (Beat it)
No one wants to be defeated
Showin' how funky and strong is your fight
It doesn't matter who's wrong or right (Who's wrong, who's right)
Just beat it (Beat it; hoo-hoo), beat it (Beat it)
No one wants to be—",425
Michael Jackson,Black or White,The Indispensable Collection,"(Hey!) What?
(Turn it off) But dad, this is the best part!
(Turn it off) No!
(It's too late for this, turn it off)
Dad, this is the best part, come on
(No, turn it off now) No, this is the—, I wanna listen to it, okay?
('Cause it's too loud and disturbs the neighbors, turn it off now)
Right, too late? Sure, eat this

Aaow! (Ooh)
Aaow!

I took my baby on a Saturday bang
Boy, is that girl with you?
Yes, we're one and the same

Now, I believe in miracles
And a miracle has happened tonight, hee
But if you're thinking about my baby
It don't matter if you're black or white, ooh

They print my message in the Saturday sun
I had to tell 'em, ""I ain't second to none""

And I told about equality and it's true
Either you're wrong or you're right, hee
But if you're thinking about my baby
It don't matter if you're black or white, hoo

Gone wit' ya, babe
Hee-hee

I am tired of this devil
I am tired of this stuff
I am tired of this business
Go when the going gets rough
I ain't scared of your brother
I ain't scared of no sheets
I ain't scared of nobody
Go when the going gets mean

Protection for gangs, clubs, and nations
Causing grief in human relations
It's a turf war on a global scale
I'd rather hear both sides of the tale
See, it's not about races, just places, faces
Where your blood comes from, it's where your space is
I've seen the bright get duller
I'm not gonna spend my life being a color

Don't tell me you agree with me
When I saw you kicking dirt in my eye (Hee-hee)
But if you're thinking about my baby
It don't matter if you're black or white

I said if you're thinking of being my baby
It don't matter if you're black or white
I said if you're thinking of being my brother
It don't matter if you're black or white

Alright, alright (Ooh-ooh)
Alright (Yeah, yeah, yeah), yeah, now
Alright, alright (Ooh-ooh)
Shamone, don't (Yeah, yeah, yeah)
Yeah, now, alright, ah
It's black, it's white
It's tough for you to beat, yeah (Yeah, yeah, yeah)
It's black, it's white (It's white)
It's black, it's white
It's tough for you to beat, yeah (Yeah, yeah, yeah)
It's black, it's white, hoo!",403
