artist,title,album,lyrics,lyrics_length
Neil Young,Old Man,Neil Young Archives Vol. I (1963-1972),"Old man, look at my life
I'm a lot like you were
Old man, look at my life
I'm a lot like you were

Old man, look at my life
Twenty-four, and there's so much more
Live alone in a paradise
That makes me think of two

Love lost, such a cost
Give me things that don't get lost
Like a coin that won't get tossed
Rolling home to you

Old man, take a look at my life, I'm a lot like you
I need someone to love me the whole day through
Ah, one look in my eyes and you can tell that's true

Lullabies, look in your eyes
Run around the same old town
Doesn't mean that much to me
To mean that much to you

I've been first and last
Look at how the time goes past
But I'm all alone at last
Rolling home to you

Old man, take a look at my life, I'm a lot like you
I need someone to love me the whole day through
Ah, one look in my eyes and you can tell that's true

Old man, look at my life
I'm a lot like you were
Old man, look at my life
I'm a lot like you were",209
Neil Young,Harvest Moon,Harvest Moon,"Come a little bit closer
Hear what I have to say
Just like children sleeping
We could dream this night away

But there's a full moon rising
Let’s go dancing in the light
We know where the music's playing
Let’s go out and feel the night

Because I'm still in love with you
I want to see you dance again
Because I'm still in love with you
On this harvest moon

When we were strangers
I watched you from afar
When we were lovers
I loved you with all my heart

But now it's getting late
And the moon is climbing high
I want to celebrate
See it shining in your eye

Because I'm still in love with you
I want to see you dance again
Because I'm still in love with you
On this harvest moon


Because I'm still in love with you
I want to see you dance again
Because I'm still in love with you
On this harvest moon",162
Neil Young,Heart of Gold,Neil Young Archives Vol. I (1963-1972),"I want to live, I want to give
I've been a miner for a heart of gold
It's these expressions I never give
That keep me searchin' for a heart of gold
And I'm getting old
Keep me searchin' for a heart of gold
And I'm getting old


I've been to Hollywood, I've been to Redwood
I crossed the ocean for a heart of gold
I've been in my mind, it's such a fine line
That keeps me searchin' for a heart of gold
And I'm getting old
Keeps me searchin' for a heart of gold
And I'm getting old


Keep me searchin' for a heart of gold
You keep me searchin' and I'm growing old
Keep me searchin' for a heart of gold
I've been a miner for a heart of gold",133
Neil Young,"My My, Hey Hey (Out of the Blue)",Rust Never Sleeps,"My my, hey hey
Rock and roll is here to stay
It's better to burn out than to fade away
My my, hey hey

Out of the blue and into the black
They give you this, but you pay for that
And once you're gone you can never come back
When you're out of the blue and into the black

The king is gone but he's not forgotten
This is the story of a Johnny Rotten
It's better to burn out than it is to rust
The king is gone but he's not forgotten

Hey hey, my my
Rock and roll can never die
There's more to the picture than meets the eye
Hey hey, my my


Hey hey, my my",121
Neil Young,Rockin’ in the Free World (Electric),Freedom,"There’s colors on the street
Red, white, and blue
People shuffling their feet
People sleeping in their shoes
There’s a warning sign on the road ahead
There’s a lot of people saying we’d be better off dead
Don’t feel like Satan, but I am to them
So I try to forget it any way I can

Keep on rockin' in the free world
Keep on rockin' in the free world
Keep on rockin' in the free world
Keep on rockin' in the free world

I see a woman in the night
With a baby in her hand
There's an old street light
Near a garbage can
Now she put the kid away and she’s gone to get a hit
She hates her life and what she’s done to it
There’s one more kid that’ll never go to school
Never get to fall in love, never get to be cool

Keep on rockin' in the free world
Keep on rockin' in the free world
Keep on rockin' in the free world
Keep on rockin' in the free world


We got a thousand points of light
For the homeless man
We got a kinder, gentler machine gun hand
We've got department stores and toilet paper
Got styrofoam boxes for the ozone layer
Got a man of the people says keep hope alive
Got fuel to burn, got roads to drive

Keep on rockin' in the free world
Keep on rockin' in the free world
Keep on rockin' in the free world
Keep on rockin' in the free world",256
Neil Young,Ohio,The Times (EP),"Tin soldiers and Nixon coming
We're finally on our own
This summer I hear the drumming
Four dead in Ohio

Gotta get down to it
Soldiers are cutting us down
Should have been done long ago
What if you knew her
And found her dead on the ground
How can you run when you know?

Na, na, na, na, na, na, na, na
Na, na, na, na, na, na, na, na
Na, na, na, na, na, na, na, na
Na, na, na, na, na, na, na, na

Gotta get down to it
Soldiers are cutting us down
Should have been done long ago
What if you knew her
And found her dead on the ground
How can you run when you know?

Tin soldiers and Nixon coming
We're finally on our own
This summer I hear the drumming
Four dead in Ohio

Four dead in Ohio
Four dead in Ohio
Four dead in Ohio
Four dead in Ohio
Four dead in Ohio
Four dead in Ohio
Four dead in Ohio
Four dead in Ohio
Four dead in Ohio
Four dead in Ohio",182
Neil Young,Southern Man,Neil Young Archives Vol. I (1963-1972),"Southern man, better keep your head
Don't forget what your good book said
Southern change gonna come at last
Now your crosses are burning fast
Southern man

I saw cotton and I saw black
Tall white mansions and little shacks
Southern man, when will you pay them back?
I heard screaming and bullwhips cracking
How long? How long? (Ah)


Southern man, better keep your head
Don't forget what your good book says
Southern change gonna come at last
Now your crosses are burning fast
Southern man

Lily Belle, your hair is golden brown
I've seen your black man coming 'round
Swear by God, I'm gonna cut him down!
I heard screaming and bullwhips cracking
How long? How long? (Ah)",119
Neil Young,Four Strong Winds,Comes a Time,"Think I'll go out to Alberta
Weather's good there in the fall
I got some friends that I could go to working for
Still I wish you'd change your mind
If I ask you one more time
But we've been through this a hundred times or more

Four strong winds that blow lonely
Seven seas that run high
All those things that don't change, come what may
If the good times are all gone
Then I'm bound for movin' on
I'll look for you if I'm ever back this way

If I get there before the snow flies
And if things are lookin' good
You could meet me if I send you down the fare
But by then it would be winter
Not too much for you to do
And those winds sure can blow cold way out there

Four strong winds that blow lonely
Seven seas that run high
All those things that don't change, come what may
The good times are all gone
So I'm bound for movin' on
I'll look for you if I'm ever back this way

Still, I wish you'd change your mind
If I ask you one more time
But we've been through that a hundred times or more

Four strong winds that blow lonely
Seven seas that run high
All those things that don't change, come what may
If the good times are all gone
Then I'm bound for movin' on
I'll look for you if I'm ever back this way
I'll look for you if I'm ever back this way",258
Neil Young,Down by the River,Neil Young Archives Vol. I (1963-1972),"Be on my side, I'll be on your side, baby
There is no reason for you to hide
It's so hard for me, staying here all alone
When you could be taking me for a ride

(Ooh la la lah la la lala) Yeah
(Ooh la la lah la la lala) She could drag me over the rainbow
(Ooh la la lah la la lala) And send me away

Down by the river, I shot my baby
Down by the river
Dead, ooh
Shot her dead, ooh


You take my hand, I'll take your hand
Together, we may get away
This much madness is too much sorrow
It's impossible to make it today

(Ooh la la lah la la lala) Yeah, ooh, yeah
(Ooh la la lah la la lala) She could drag me over the rainbow
(Ooh la la lah la la lala) And send me away, yeah

Down by the river
I shot my baby
Down by the river
Dead, dead, ooh
Ooh, shot her dead
Shot her dead


Be on my side, I'll be on your side
There is no reason for you to hide
It's so hard for me staying here all alone
When you could be taking me for a ride

(Ooh la la lah la la lala) Ooh, yeah
(Ooh la la lah la la lala) She could drag me over the rainbow
(Ooh la la lah la la lala) And send me away, yeah

Down by the river
I shot my baby
Down by the river
Down by the river
I shot my baby
Down by the river
Down by the river
I shot my baby
Down by the river",277
Neil Young,Alabama,Neil Young Archives Vol. I (1963-1972),"Oh, Alabama
The devil fools with the best laid plan
Swing low, Alabama
You got the spare change, you got to feel strange
And now the moment is all that it meant

Alabama, you got the weight on your shoulders
That's breaking your back
Your Cadillac has got a wheel in the ditch
And a wheel on the track

Oh, Alabama
Banjos playing through the broken glass
Windows down in Alabama
See the old folks tied in white robes
Hear the banjo, don't it take you down home?

Alabama, you got the weight on your shoulders
That's breaking your back
Your Cadillac has got a wheel in the ditch
And a wheel on the track

Oh, Alabama
Can I see you and shake your hand?
Make friends down in Alabama
I'm from a new land, I come to you and
See all this ruin, what are you doing?

Alabama, you've got the rest of the Union
To help you along
What's going wrong?",163
