artist,title,album,lyrics,lyrics_length
Prince,Little Red Corvette,1999 (Super Deluxe Edition),"I guess I should've known by the way you parked your car sideways
That it wouldn't last
See, you're the kinda person that believes in makin' out once
Love 'em and leave 'em fast
I guess I must be dumb 'cause you had a pocket full of horses
Trojan and some of them used

But it was Saturday night, I guess that makes it all right
And you say,  ""What have I got to lose?""

And, honey, I say, little red Corvette
Baby, you're much too fast (Oh)
Little red Corvette
You need a love that's gonna last

I guess I should've closed my eyes when you drove me to the place
Where your horses run free
'Cause I felt a little ill when I saw all the pictures
Of the jockeys that were there before me
Believe it or not, I started to worry
I wondered if I had enough class

But it was Saturday night, I guess that makes it all right
And you say, ""Baby, have you got enough gas?""
Oh, yeah!

Little red Corvette
Baby, you're much too fast
(Yes, you are)
Little red Corvette
You need to find a love that's gonna last
(Oh, oh)

Ooh, oooh, oooh
Ooh, oooh, oooh

A body like yours oughta be in jail
'Cause it's on the verge of bein' obscene
Move over, baby, gimme the keys
I'm gonna try to tame your little red love machine

Little red Corvette
Baby, you're much too fast
Little red Corvette
Need to find a love that's gonna last, hey hey

Little red Corvette
Honey, you got to slow down (Got to slow down)
Little red Corvette
'Cause if you don't, you're gonna run your little red Corvette right in the ground
(Little red Corvette)
Right down to the ground (Honey, you got to slow down)
You, you, you got to slow down
(Little red Corvette)
You're movin' much too fast, too fast
Need to find a love that's gonna last

Girl, you got an ass like I never seen, ow!
And the ride
I say the ride is so smooth, you must be a limousine
Ow!

Baby, you're much too fast
Little red Corvette
You need a love, you need a love that's, uh, that's gonna last
(Little red Corvette)

Babe, you got to slow down (You got to slow down)
Little red Corvette
'Cause if you don't, 'cause if you don't
You're gonna run your body right into the ground (Right into the ground)
Right into the ground (Right into the ground)
Right into the ground (Right into the ground)
Little red Corvette",433
Prince,1999,1999 (Super Deluxe Edition),"Don't worry, I won't hurt you
I only want you to have some fun

I was dreamin' when I wrote this
Forgive me if it goes astray
But when I woke up this morning
Could have sworn it was judgement day
The sky was all purple
There were people runnin' everywhere
Tryin' to run from the destruction
You know I didn't even care

'Cause they say
2000, zero-zero, party over, oops, out of time
So tonight, I'm gonna party like it's 1999

I was dreamin' when I wrote this
So sue me if I go too fast
But life is just a party
And parties weren't meant to last
War is all around us
My mind says, ""Prepare to fight""
So if I gotta die
I'm gonna listen to my body tonight
Yeah

They say
2000, zero-zero, party over, oops, out of time
So tonight, I'm gonna party like it's 1999
Yeah, yeah, shh

Lemme tell ya somethin'
If you didn't come to party
Don't bother knockin' on my door, oh, uh, ah
I got a lion in my pocket
And, baby, he's ready to roar, yeah, yeah
Everybody's got a bomb
We could all die any day, oh
But before 
I'll let that happen
I'll dance my life away
Oh

They say
2000, zero-zero, party over, oops, out of time
(We're runnin' outta time)
So tonight, I'm gonna party like it's 1999
So tonight, we gonna, we gonna, oh
Say it one more time
2000, zero-zero, party over, oops, out of time
No, no
Tonight, I'm gonna party like it's 1999
So tonight, we gonna, we gonna, woo

All right, 1999
You say it, 1999
Ooh, 1999, oh, 1999
Don't stop, don't stop, say it one more time
2000, zero-zero, party over, oops, out of time
Yeah, yeah
Tonight, I'm gonna party like it's 1999
So tonight, we're gonna, we're gonna, woo
[Outro: Prince, 
Lisa
, 
Prince and Lisa
, 
All
]
Yeah, 
1999
Don'tcha wanna go? (
1999
)
Don'tcha wanna go? (
1999
)
We could all die any day (
1999
)
I don't wanna die
I'd rather dance my life away (
1999
)
Listen to what I'm tryin' to say
Everybody, everybody say, ""Party""
C'mon now, you say, ""Party""
That's right, everybody say, ""Party""
Can't run from revelation, no (
Party
)
Sing it for your nation, y'all (Party), wow!
Drum it with your fingers, baby (Party)
Telephone's a-ringin', mama (Party)
C'mon, c'mon, you say, ""Party""
Everybody, two times, ""Party""
Woo, work it down to the ground, say, ""Party""
Ooh, ooh, ooh, ooh (Party)
Come on, oh, take my body, baby (Party)
That's right, c'mon, sing the song, ”Party”
(Oh) (Party)
That's right (Party)
Got a lion in my pocket, mama, say, ""Party""
Oh, and he's ready to roar (Party)
Ah

Mommy, why does everybody have a bomb?
Mommy, why does everybody have a bomb?",481
Prince,Adore,Sign O’ the Times (Super Deluxe Edition),"Ooh, baby, oh

Until the end of time
I'll be there for you
You own my heart and mind
I truly adore you
If God, one day, struck me blind
Your beauty, I'd still see
Love is too weak to define
Just what you mean to me

From the first moment I saw you
Ooh, I knew you were the one
That night, I had to call you
I was rappin' 'til the sun came up
Tellin' you just how fine you look
In a word, you were ""sex""
All of my cool attitude you took
My body was next
You made love to me
Like you were afraid
Was you afraid of me?
Was I the first?
Was I your every fantasy?

That's why
Until the end of time
I'll be there for you
You own my heart and mind
I truly adore you
If God, one day, struck me blind
Your beauty, I'd still see
Love is too weak to define
Just what you mean to me

When we be makin' love
I only hear the sounds
Heavenly angels cryin' up above
Tears of joy pourin' down on us
They know we need each other
They know you are my fix
I know you know that I ain't cheatin', baby
They know this is serious
I ain't fuckin' just for kicks, no
This condition I got is crucial (Crucial)
You could say that I'm a terminal case
You could burn up my clothes
Smash up my ride
Well, maybe not the ride
But I got to have your face
All up in the place
I'd like to think that I'm a man of exquisite taste
A hundred percent Italian silk, imported Egyptian lace
Nothin', baby, I said nothin', baby, can compare
To your lovely face
Do you know what I'm sayin' to you this evening?
I'm just tryin' to say

That until, until the end of time
I'll be there for you
I'll be there for you
You own my heart, you own my mind
I truly adore you
I truly adore you, darlin'
Adore you
You don't know what you mean to me, baby
Baby, baby
Until the end of time
I'll be there for you
You own my heart and mind, I truly adore you
Adore you

Can I talk to you?
Tell you what you mean to me
Every time you wander
I'll be your eyes so you can see
I wanna show you things
That I never showed no other, I wanna be
More than your mother
More than your brother
I wanna be like no other
If you need me, I'll never leave
I know that you know, without you, there is no me
There is no me
Without you, there is no sea
There is no shore
Love is too weak to define how much I adore
You child, you child
The last words you hear
Be with me, darlin', 'til the end of all time
I'll give you my heart
I'll give you my mind
I'll give you my body
I'll give you my time

For all time, I am with you
You are with me
You are with me",529
Prince,P. Control,Anthology: 1995 – 2010,"Nuestra presentación especial comenzará en breve
Pero antes un mensaje de nuestros auspiciadores

Uh, yeah
Uh
Good morning ladies and gentlemen
""What hotel number is she in?""
Boys and motherfucking girls
""319, 319""
""Cool""
This is your captain with no name speaking
And I'm here to rock your world
With a tale that will soon be classic
About a woman you already know
No prostitute she, but the mayor of your brain
Pussy Control
Are you ready?

Ah, Pussy Control, oh
Ah, Pussy Control, oh

Our story begins in a schoolyard
A little girl skipping rope with her friends
A tisket, a tasket, no lunch in her basket
Just school books for the fight she would be in
One day, over this hoodie
She got beat for some clothes and her rep
With her chin up, she scolded ""All y'all's molded
When I'm rich, on your neck I will step""
And step she did, to the straight A's
Then college, the master degree
She hired the heifers that jumped her
And made everyone of them work for free?
No! Why?
So what if my sisters are trifling?
They just don't know
She said ""Mama didn't tell 'em what she told me
Girl, you need Pussy Control'""
Are you ready?

Ah, Pussy Control, oh
Ah, Pussy Control, oh

(Verse two)
Pussy got bank in her pockets
Before she got dick in her drawers
If brother didn't have good and plenty of his own
In love, Pussy never did fall
And this fool named Trick want to stick her
Uh, talking more shit than a bit
'Bout how he going to make Pussy a star
If she come and sing a lick on his hit
Pussy said ""Nigga, you crazy if you don't know
Every woman in the world ain't a freak
You can go platinum four times
Still couldn't make what I make in a week
So push up on somebody want to hear that
'Cause this somebody here don't want to know
Boy, you better act like you understand
When you roll with Pussy Control""
Are you ready?

Ah, Pussy Control, oh
Ah, Pussy Control, oh

With one more verse to the story
I need another piece of your ear
I want to hip you all to the reason
I'm known as the Player of the Year
'Cause I met this girl named Pussy
At the Club International balls
She was rolling four-deep
Three sisters and a weepy-eyed white girl driving her haul
I pulled up right beside her
And my electric top went down
I said ""Motherfucker, I know your reputation
And I'm astounded that you're here
I fear you're lonely and you want to know
A 12 o'clock straight up nigga
That don't give a shit that you're Pussy Control
Well, I'm that nigga, at least I want to be
But it's going to be hard as hell
To keep my mind off a body
That would make every rich man
Want to sell, sell, sell""
Seventy-five, we need another... eighty-five, eighty-five here — sold!
""Can I tell you what I'm thinking that you already know?
You need a motherfucker that respects your name""
Now say it, Pussy Control
Are you ready?

Ah, Pussy Control, oh
Ah, Pussy Control, oh

And the moral of this motherfucker is
Ladies, make 'em act like they know
You are, was, and always will be Pussy Control
Are you ready?
Peace and be wild
Aah, Pussy Control
Say what, huh?
Oh
Oh no, don't you think about calling her a ho
Are you ready?
You juvenile delinquent
Best sit your ass down
Talking about Pussy Control
Huh, can you dig it?

Ah, Pussy Control
Are you ready?
Oh
Are you ready?
Ah, Pussy Control
Are you ready?
Oh
Are you ready?",629
Prince,Sign O’ the Times,Sign O’ the Times (Super Deluxe Edition),"Oh, yeah

In France, a skinny man died of a big disease with a little name
By chance, his girlfriend came across a needle and soon she did the same
At home, there are seventeen year-old boys and their idea of fun
Is being in a gang called The Disciples, high on crack, totin' a machine gun
Time
Times

Hurricane Annie ripped the ceiling off a church and killed everyone inside
You turn on the telly and every other story is tellin' you somebody died
Sister killed her baby 'cause she couldn't afford to feed it
And we're sending people to the moon
In September, my cousin tried reefer for the very first time
Now he's doing horse – it's June
Times
Time

It's silly, no?
When a rocket ship explodes
And everybody still wants to fly
Some say a man ain't happy unless
A man truly dies
Oh, why?
Time
Time

Baby make a speech, Star Wars fly
Neighbors just shine it on
But if a night falls and a bomb falls
Will anybody see the dawn?
Time
Time

Is it silly? No
When a rocket blows up
And everybody still wants to fly
Some say man ain't happy, truly
Until a man truly dies
Oh, why?
Oh, why?
Sign o' the times
Uh
Time
Time

Sign o' the times mess with your mind
Hurry, before it's too late
Let's fall in love, get married, have a baby
We'll call him Nate, if it's a boy
Time",248
Prince,Controversy,Ultimate,"I just can't believe all the things people say
Controversy
Am I black or white?
Am I straight or gay?
Controversy
Do I believe in God?
Do I believe in me?
Yeah, uh, uh, controversy
Controversy
Controversy

I can't understand human curiosity
Controversy
Was it good for you?
Was I what you wanted me to be?
Controversy
Do you get high?
Does your daddy cry?
Uh, uh, controversy
Controversy
Controversy

Do I believe in God?
Do I believe in me? (Yeah, ooh, yeah)
Some people wanna die
So they can be free
I said life is just a game
We're all just the same (Do you wanna play?)
Oh, yeah, yeah, yeah
Controversy
Ooh, yeah, controversy
Controversy
Controversy
Controversy
Controversy

Our Father, who art in Heaven
Hallowed be thy name
Thy kingdom come
Thy will be done on Earth as it is in Heaven
Give us this day our daily bread and forgive us our trespasses
As we forgive those who trespass against us
Lead us not into temptation but deliver us from evil
For thine is the kingdom and the power and the glory forever and ever

Controversy
Controversy
Controversy
Love him, love him, baby
Controversy
Controversy
Controversy
Oh, yeah, yeah, controversy
Everybody, controversy, oh, yeah
Controversy
Listen
People call me rude
I wish we all were nude
I wish there was no black and white, I wish there were no rules
People call me rude
I wish we all were nude
I wish there was no black and white, I wish there were no rules
People call me rude
I wish we all were nude
I wish there was no black and white, I wish there were no rules
People call me rude, I wish we all were nude
I wish there was no black and white, I wish there were no rules (Yeah)
Controversy (Oh, yeah)
Controversy

Do I believe in God? Do I believe in me? Let me tell you
Some people wanna die so they can be free
Oh, I said life is just a game, we're all just the same
(Don't ya wanna play?)
Controversy, controversy, controversy, controversy",354
Prince,Nothing Compares 2 U,Originals,"It's been seven hours and thirteen days
Since you took your love away
I go out every night and sleep all day
Since you took your love away
Since you've been gone I can do whatever I want
I can see whomever I choose
I can eat my dinner in a fancy restaurant
But nothing, I said nothing can take away these blues

'Cause nothing compares
No, nothing compares to you
Nothing, nothing

It's been so lonely without you here
Like a bird without a song
Nothing can stop these lonely tears from falling
Tell me, baby, where did I go wrong?
I could put my arms around every girl I see
But they'd only remind me of you
I went to the doctor and guess what he told me
Guess what he told me
He said, ""Boy, you better try to have fun no matter what you do""
But he's a fool

'Cause nothing compares
No, nothing compares to you
Nothing, nothing


All the flowers that you planted, mama, in the backyard
All died when you went away
I know that living with me, baby, was some kind of hard
But I'm willing to give it another try

'Cause nothing compares
No, nothing compares to you
I said nothing compares
Nothing compares to you",215
Prince,I Wanna Be Your Lover,The Hits/The B-Sides,"I ain't got no money
I ain't like those other guys you hang around
It's kind of funny
But they always seem to let you down
And I get discouraged
'Cause I never see you anymore
And I need your love, babe, yeah
That's all I'm living for, yeah

I didn't wanna pressure you, baby
But all I ever wanted to do

I wanna be your lover
I wanna be the only one that makes you come… running
I wanna be your lover
I wanna turn you on, turn you out
All night long, make you shout
Oh, lover!
Yeah, I wanna be the only one you come for

I wanna be your brother
I wanna be your mother and your sister, too
There ain't no other
That can do the things that I'll do to you
And I get discouraged
'Cause you treat me just like a child
And they say I'm so shy, yeah
But with you, I just go wild, woo!

I didn't wanna pressure you, baby, no
But all I ever wanted to do

I wanna be your lover
I wanna be the only one that makes you come… running
I wanna be your lover
I wanna turn you on, turn you out
All night long, make you shout
Oh, lover!
Yeah, I wanna be the only one you come for, yeah",226
Prince,If I Was Your Girlfriend,Sign O’ the Times (Super Deluxe Edition),"""Look at the bargains over here, ladies""
Ooh, woah
Ooh-hoo
Oh yeah
Ooh-hoo

If I was your girlfriend
Would you remember
To tell me all the things you forgot
When I was your man?
Hey, hey, when I was your man?

If I was your best friend
Would you let me take care of you
And do all the things that only a best friend can? Oh
Only best friends can? (Ooh)

If I was your girlfriend
Ooh, ooh
If I was your girlfriend

If I was your girlfriend
Would you let me dress you?
I mean, help you pick out your clothes
Before we go out?
Not that you're helpless
But sometimes, sometimes
Those are the things
That bein' in love's about

And if I was your one and only friend
Wouldn’t you run to me if somebody hurt you
Even if that somebody was me?
Yeah
Sometimes, I trip on how happy
We could be, please

If I was your girlfriend
Ooh, oh
Ooh-ooh-ooh
If I was your girlfriend

Would you let me wash your hair?
Could I make you breakfast sometime?
Or then, could we just hang out? I mean
Could we go to a movie and cry together?
'Cause to me, baby, that would be so fine
Woo-hoo

(If I was your girlfriend)
Baby, can I dress you?
I mean, help you pick out your clothes
Before we go out?
(If I was your girlfriend)
Listen, girl, I ain't sayin' you're helpless
But sometimes, sometimes
Those are the things
That bein' in love's about
(Sugar, sugar)
Sugar, do you know what I'm sayin' to you this evening?
(If I was your girlfriend)
Maybe you think I'm being a little self-centered
But I, I said I want to be
(Sugar, sugar)
All of the things you are to me
(If I was your girlfriend)
Surely, surely, you can see

Is it really necessary for me to go out of the room
Just because you wanna undress?
(If I was your girlfriend)
We don't have to make children to make love
And we don't have to make love to have an orgasm
(If I was your girlfriend)
Your body's what I'm all about
(If I was your girlfriend) Can I see you? I'll show you
(If I was your girlfriend) Why not?
You can do it because I'm your friend, I'd do it for you
(If I was your girlfriend)
Of course I'd undress in front of you
And when I'm naked, what shall I do?
(If I was your girlfriend)
How can I make you see that it's cool?
Can't you just trust me?
If I was your girlfriend, you could
(If I was your girlfriend) Oh, yeah, I think so
Listen, for you, naked, I would dance a ballet
(If I was your girlfriend) Would that get you off?
Then tell me what will
If I was your girlfriend, would you tell me?
(If I was your girlfriend)
Would you let me see you naked, then?
Would you let me give you a bath?
(If I was your girlfriend)
Would you let me tickle you so hard
You'd laugh and laugh?
And would you, would you let me kiss you there?
(If I was your girlfriend)
You know, down there where it counts
I'll do it so good, I swear I'll drink every ounce
And then I'll hold you tight and hold you long
(If I was your girlfriend)
And together, we'll stare into silence
And we'll try to imagine what it looks like
Yeah, we'll try to imagine what, what silence looks like
Yeah, we'll, we'll try to imagine what silence looks like
Yeah, we'll try",611
Prince,The Most Beautiful Girl in the World,The Gold Experience (Record Store Day Reissue),"Could you be
The most beautiful girl in the world?
It's plain to see
You're the reason that God made a girl

When the day turns into
The last day of all time
I can say I hope you are in
These arms of mine
And when the night falls before that day
I will cry, I will cry
Tears of joy, 'cause after you
All one can do is die, oh

Could you be
The most beautiful girl in the world?
Could you be?
It's plain to see
You're the reason that God made a girl
Oh, yes, you are

How can I get through days
When I can't get through hours?
I can try, but when I do
I see you and I'm devoured, oh, yes
Who'd allow, who'd allow
A face to be soft as a flower? Oh
I could bow (Bow down)
And feel proud in the light of this power
Oh, oh, yes, oh

Could you be, could you be
The most beautiful girl in the world?
Could you be?
It's plain to see
You're the reason that God made a girl
Oh, yes, you are

And if the stars ever fell one by one from the sky
I know Mars could not be, uh, too far behind
'Cause baby, this kind of beauty
Has got no reason to ever be shy
'Cause honey, this kind of beauty
Is the kind that comes from inside

Could you be (Could you be?)
The most beautiful girl in the world?
So beautiful, beautiful
It's plain to see, plain to see
You're the reason that God made a girl
Oh, yeah, oh, yeah! (Oh, yes, you are)

Girl (Could you be?)
You must be, oh, yeah!
(Could you be?)
You're the reason, oh, yeah
(Could, could, could)",299
